rho0,v0,vesc,dVsun,k,frame_idx,frame,vE_june,vE_sun,vmax_june,deltamax_june,deltamax_sun,a1_300,phase_300,a1_350,phase_350,a1_366,phase_366,a1_380,phase_380,a1_L10,phase_L10,Niso_300__sun,Niso_300__june,Niso_300__annual,Niso_300,pct248_300__sun,pct248_300__june,pct248_300__annual,pct248_300,Niso_350__sun,Niso_350__june,Niso_350__annual,Niso_350,pct248_350__sun,pct248_350__june,pct248_350__annual,pct248_350,Niso_366__sun,Niso_366__june,Niso_366__annual,Niso_366,Niso_380__sun,Niso_380__june,Niso_380__annual,Niso_380,deltaH_N1__sun,deltaH_N1__june,deltaH_N1__annual,deltaH_N1,Nhig_300__sun,Nhig_300__june,Nhig_300__annual,Nhig_300,Nhig_366__sun,Nhig_366__june,Nhig_366__annual,Nhig_366,NL10_lz__sun,NL10_lz__june,NL10_lz__annual,NL10_lz,log10kappa_300,log10kappa_300__sun,log10kappa_300__june,log10kappa_300__annual,log10kappa_350,log10kappa_350__sun,log10kappa_350__june,log10kappa_350__annual,log10kappa_366,log10kappa_366__sun,log10kappa_366__june,log10kappa_366__annual,log10kappa_380,log10kappa_380__sun,log10kappa_380__june,log10kappa_380__annual,d10,log10d10,d10__sun,log10d10__sun,d10__june,log10d10__june,d10__annual,log10d10__annual
0.313627,238.445,571.445,-0.791324,0.536723,0,sun,265.632,250.206,837.077,409.591,396.914,0.376066,151.891,0.84468,151.892,1.14008,151.893,1.42232,151.893,0.0212143,151.89,15364.3,22652.9,16412.2,15364.3,99.5171,99.5451,99.5238,99.5171,552.784,1378.7,713.468,552.784,98.3126,98.7573,98.5148,98.3126,79.9561,314.3,132.974,79.9561,6.2021,52.3588,17.905,6.2021,373.843,385.48,378.715,373.843,916.728,1373.65,983.1,916.728,3.83566,15.244,6.44566,3.83566,13.4,13.6954,13.4268,13.4,-4.18651,-4.18651,-4.35512,-4.21517,-2.74256,-2.74256,-3.13947,-2.85337,-1.90285,-1.90285,-2.49734,-2.12377,-0.792538,-0.792538,-1.71899,-1.25298,0.273179,-0.563553,0.273179,-0.563553,0.270217,-0.568288,0.272906,-0.563986
0.443747,230.386,515.563,-0.206178,0.0140662,2,annual,258.184,242.744,773.748,357.545,344.856,0.711626,151.707,1.72766,151.71,1.86464,151.689,,,0.024975,151.706,4844.2,10121.3,5775.48,5775.48,99.2625,99.3918,99.312,99.312,0.0708805,7.33595,1.78023,1.78023,10.6889,85.3388,81.7494,81.7494,0,0.0249629,0.00479012,0.00479012,0,0,0,0,335.034,347.084,341.202,341.202,254.62,562.176,310.77,310.77,0,0.0141152,0.00275391,0.00275391,18.5843,19.07,18.6307,18.6307,-3.76159,-3.68522,-4.00523,-3.76159,-0.250475,1.14947,-0.865456,-0.250475,2.31965,,1.6027,2.31965,,,,,0.231678,-0.635115,0.231967,-0.634573,0.228994,-0.640175,0.231678,-0.635115
0.372786,241.257,582.48,6.95071,1.30614,2,annual,276.152,260.746,858.632,427.307,414.646,0.394169,152.134,0.753396,152.135,0.962417,152.135,1.19066,152.135,0.0210057,152.133,15483.3,23316.5,16624.6,16624.6,99.5067,99.5335,99.5135,99.5135,651.012,1463.65,801.94,801.94,98.5616,98.8433,98.6784,98.6784,132.196,393.424,186.52,186.52,20.7091,91.6696,37.0846,37.0846,379.386,390.744,383.661,383.661,920.336,1405.49,991.715,991.715,6.45936,19.7737,9.26865,9.26865,16.1441,16.4936,16.1735,16.1735,-4.22075,-4.18986,-4.36766,-4.22075,-2.90414,-2.81359,-3.16544,-2.90414,-2.27073,-2.12122,-2.59486,-2.27073,-1.56919,-1.31616,-1.96223,-1.56919,0.248656,-0.604402,0.248882,-0.604006,0.246231,-0.608657,0.248656,-0.604402
0.328781,231.025,505.651,-0.954981,0.98344,2,annual,258.074,242.634,763.726,349.309,336.619,1.0284,151.705,1.80203,151.705,,,,,0.0275121,151.703,479.814,1556.68,712.299,712.299,98.8634,99.1478,99.0241,99.0241,0,0.0224736,0.00488531,0.00488531,,31.5913,26.7148,26.7148,0,0,0,0,0,0,0,0,317.217,328.599,322.808,322.808,22.7907,79.4918,35.3206,35.3206,0,0,0,0,13.6701,14.0636,13.7077,13.7077,-2.85266,-2.68107,-3.1922,-2.85266,2.31111,,1.64833,2.31111,,,,,,,,,0.270096,-0.568482,0.270467,-0.567886,0.266656,-0.574049,0.270096,-0.568482
0.345438,224.273,574.366,-1.82816,0.710924,1,june,250.477,235.02,824.843,399.537,386.834,0.451403,151.502,1.04307,151.504,1.36524,151.504,1.58922,151.504,0.0278435,151.501,6399.97,10243.2,7008.38,10243.2,99.4634,99.5018,99.4741,99.5018,101.78,341.767,154.663,341.767,97.4407,98.3013,97.9309,98.3013,7.3466,51.0453,18.3413,51.0453,0.193437,4.44393,1.28879,4.44393,359.816,371.129,364.468,371.129,371.227,606.921,409.054,606.921,0.422855,2.46141,0.926037,2.46141,14.1735,14.589,14.2152,14.589,-4.01044,-3.80618,-4.01044,-3.84562,-2.53373,-2.00766,-2.53373,-2.18939,-1.70796,-0.866086,-1.70796,-1.26343,-0.647767,0.713461,-0.647767,-0.110184,0.261811,-0.582013,0.265621,-0.575738,0.261811,-0.582013,0.265231,-0.576376
0.443312,243.639,582.809,-1.29429,1.85328,1,june,270.308,254.891,853.117,422.774,410.104,0.462818,152.002,0.878093,152.003,1.10261,152.003,1.32681,152.004,0.0235836,152.001,9278.32,15060.2,10183,15060.2,99.4583,99.4928,99.4682,99.4928,223.626,595.602,298.738,595.602,98.1494,98.563,98.3496,98.563,33.438,126.391,54.2788,126.391,3.57222,22.3332,8.15208,22.3332,368.616,379.868,372.804,379.868,538.587,889.497,594.163,889.497,1.65272,6.24577,2.68712,6.24577,18.9529,19.4158,18.9935,19.4158,-4.17783,-3.96747,-4.17783,-4.00788,-2.77496,-2.34952,-2.77496,-2.47529,-2.10172,-1.52424,-2.10172,-1.73463,-1.34895,-0.552938,-1.34895,-0.911269,0.226946,-0.644078,0.229701,-0.638838,0.226946,-0.644078,0.229455,-0.639303
0.354701,237.766,567.584,-7.25479,1.91013,1,june,258.515,243.075,826.099,400.569,387.88,0.586245,151.715,1.19646,151.717,1.45982,151.717,1.62617,151.717,0.0275557,151.714,2648.2,4931.59,3044.97,4931.59,99.3627,99.4205,99.3828,99.4205,15.2715,69.6131,28.0572,69.6131,96.3022,97.5973,97.1555,97.5973,0.687701,6.95341,2.28517,6.95341,0.0136411,0.406018,0.111894,0.406018,347.211,358.27,351.451,358.27,147.156,281.172,170.801,281.172,0.052755,0.367718,0.130558,0.367718,14.7559,15.1811,14.7963,15.1811,-3.69299,-3.42295,-3.69299,-3.48358,-1.84269,-1.18388,-1.84269,-1.44805,-0.842198,0.1626,-0.842198,-0.358919,0.391455,1.86515,0.391455,0.951193,0.256654,-0.590652,0.260326,-0.584483,0.256654,-0.590652,0.25997,-0.585077
0.389075,247.91,596.735,-1.91788,0.747037,0,sun,273.944,258.534,870.678,437.207,424.542,0.311338,152.085,0.577789,152.085,0.744756,152.085,0.942376,152.086,0.0177836,152.084,34501.4,47668.9,36298.4,34501.4,99.5611,99.5804,99.5654,99.5611,2861.8,5221.01,3249.63,2861.8,98.977,99.132,99.0272,98.977,854.619,1889.5,1044.28,854.619,218.258,625.408,301.634,218.258,397.337,409.004,401.855,397.337,2109.44,2939.68,2223.07,2109.44,43.2818,99.4603,53.8257,43.2818,16.9121,17.2223,16.9386,16.9121,-4.53784,-4.53784,-4.67824,-4.55989,-3.45664,-3.45664,-3.71775,-3.51183,-2.93177,-2.93177,-3.27635,-3.01882,-2.33897,-2.33897,-2.79616,-2.47948,0.243165,-0.614099,0.243165,-0.614099,0.240965,-0.618046,0.242975,-0.614438
0.317083,236.811,527.813,-2.82233,0.130857,1,june,261.979,246.547,789.792,370.731,358.048,0.561878,151.802,1.55386,151.804,1.723,151.805,1.86179,151.796,0.0223217,151.801,7281.86,12926.7,8183,12926.7,99.3904,99.4652,99.4135,99.4652,5.30645,91.2746,27.8314,91.2746,85.5513,95.4527,94.2287,95.4527,0.0184841,1.45,0.350377,1.45,0,0.0147455,0.00284077,0.0147455,345.346,357.295,351.129,357.295,404.164,746.1,460.332,746.1,0.0104756,0.265578,0.0789688,0.265578,13.4481,13.7611,13.4772,13.7611,-4.11149,-3.86224,-4.11149,-3.91291,-1.96035,-0.724804,-1.96035,-1.44453,-0.161369,1.7332,-0.161369,0.455464,1.83134,,1.83134,2.54656,0.269571,-0.569326,0.272691,-0.56433,0.269571,-0.569326,0.272396,-0.5648
0.325266,225.407,521.438,-0.352857,1.51659,2,annual,253.077,237.626,774.515,358.175,345.477,0.967124,151.574,1.75147,151.575,1.89517,151.575,,,0.0320756,151.572,301.011,904.76,429.697,429.697,98.9538,99.1695,99.0697,99.0697,0.000471575,0.081857,0.0191637,0.0191637,4.03124,73.2195,68.6871,68.6871,0,0.000124332,2.24532e-05,2.24532e-05,0,0,0,0,316.966,328.033,321.85,321.85,14.6761,46.7535,21.6468,21.6468,0,7.36145e-05,1.3527e-05,1.3527e-05,13.2271,13.6731,13.2711,13.2711,-2.63316,-2.47858,-2.95653,-2.63316,1.71752,3.32645,1.08694,1.71752,4.64872,,3.90542,4.64872,,,,,0.274502,-0.561454,0.274959,-0.560732,0.270437,-0.567933,0.274502,-0.561454
