case,f_128,f_129,f_130,f_131,f_132,f_134,f_136
O1_el,0.03256,0.4901,0.04845,0.2351,0.1589,0.03597,-0.001038
O1_inel300,0.02794,0.4556,0.04747,0.2486,0.1767,0.04514,-0.001443
L10,0,0.7001,0,0.2999,0,0,0
O4,0,0.5199,0,0.4801,0,0,0
O6,0,0.402,0,0.598,0,0,0
