variant,rms_fm,E_node2_keV,F2_248
shell model 132Xe,,263.3,1.65e-05
Helm s=0.9 (default),4.793,276.1,0.000134
Helm s=0.8,4.793,269.4,0.0001025
Helm s=1.0,4.793,284,0.0001605
2pF c=5.42 a=0.57 (default),4.703,305.8,0.0004136
2pF c=5.551 (rms matched to Helm),4.793,292.1,0.0002535
2pF c=5.42 a=0.5,4.591,308.6,0.0006165
2pF c=5.42 a=0.65,4.844,302.6,0.0002524
