delta_keV,alt_response,factor_window,factor_smeared,factor_fullROI,LZ_lower,LZ_upper,lower_if_alt_fullROI,upper_if_alt_fullROI,N_unit_shell_ROI_2p84tyr,N_unit_alt_ROI_2p84tyr
250,Helm,0.2211,0.2903,0.3806,2.888e-06,3.874e-05,1.099e-06,1.474e-05,9.97e+04,2.62e+05
250,2pF,0.09488,0.1706,0.3976,2.888e-06,3.874e-05,1.148e-06,1.54e-05,9.97e+04,2.508e+05
300,Helm,0.2191,0.2873,0.3483,1.284e-05,0.0002595,4.472e-06,9.038e-05,1.257e+04,3.608e+04
300,2pF,0.09228,0.1628,0.3311,1.284e-05,0.0002595,4.252e-06,8.593e-05,1.257e+04,3.795e+04
350,Helm,0.2092,0.2779,0.2974,0.001384,0.02247,0.0004116,0.006683,154.5,519.4
350,2pF,0.08046,0.1332,0.1797,0.001384,0.02247,0.0002487,0.004038,154.5,859.7
