alt_response,factor_coupling2_fullROI,factor_coupling2_window,factor_coupling2_smeared,LZ_upper_1000,LZ_lower_1000,upper_if_alt_linear_axis,lower_if_alt_linear_axis
Helm,2.851,26.09,18.67,0.553,0.1541,0.9336,0.2602
thinshell,0.8714,0.6081,0.6339,0.553,0.1541,0.5162,0.1439
