E_keV,q_MeV,F2_shell,F2_helm,F2_2pf,shell_over_helm,twopf_over_helm,shell_over_2pf
50,110.6,0.05472,0.05483,0.06758,0.9981,1.233,0.8098
100,156.5,6.034e-05,0.0002483,9.952e-05,0.243,0.4008,0.6063
150,191.6,0.001288,0.003409,0.002535,0.3777,0.7436,0.5079
200,221.3,0.0005055,0.001507,0.001788,0.3354,1.186,0.2828
225,234.7,0.0001668,0.0006068,0.0009879,0.2749,1.628,0.1689
248,246.4,2.911e-05,0.0001644,0.0004495,0.1771,2.735,0.06476
265,254.7,3.704e-06,3.248e-05,0.0002031,0.114,6.253,0.01824
270,257.1,4.007e-06,1.644e-05,0.0001528,0.2438,9.293,0.02623
300,271,3.839e-05,4.275e-05,9.632e-06,0.898,0.2253,3.985
