m_GeV,N_unit_events_at_1muN,mu_for_1_ROI_event_muN,mu_for_1_ROI_event_ecm,mu_for_1_hi_event_muN,mu_for_1_hi_event_ecm,N_lo_per_hi,N_mid_per_hi,f_lo,f_hi,N2024_lo_if_1_hi_event,dRdE_10keV,dRdE_248keV
100,1.0611e+13,3.0698e-07,3.2281e-21,4.1723e-05,4.3873e-19,12902,125.43,0.69848,5.4136e-05,19081,1.7933e+11,1.284e+06
200,5.6682e+12,4.2003e-07,4.4168e-21,1.7188e-05,1.8074e-19,1184.5,20.422,0.70734,0.00059717,1751.7,9.472e+10,1.1756e+07
400,2.9267e+12,5.8454e-07,6.1467e-21,1.6139e-05,1.6971e-19,541.35,11.88,0.71017,0.0013119,800.59,4.8574e+10,1.4715e+07
1000,1.1931e+12,9.1551e-07,9.627e-21,2.1041e-05,2.2126e-19,375.83,9.3425,0.7115,0.0018931,555.81,1.9717e+10,9.0321e+06
4000,3.011e+11,1.8224e-06,1.9164e-20,3.8723e-05,4.0719e-19,321.51,8.4524,0.71211,0.0022149,475.47,4.9653e+09,2.7155e+06
