m_GeV,scale_fig1_over_wimpydd,rms_log10_resid,max_abs_log10_resid,fig_peak1,fig_dip,fig_peak2,wd_peak1,wd_dip,wd_peak2,N_lo_fig1,N_lo_wd,N_unit_fig1_events,N_unit_wd_events,R_hi_fig1,R_hi_wd,f_lo_fig1,f_lo_wd
200,3.8594,0.083833,0.20166,119,63,175,21,53,173,0.46787,0.60256,28.705,7.4299,2.766,0.6089,0.12804,0.14024
1000,3.8569,0.083974,0.20072,119,59,203,119,53,197,0.15506,0.19898,13.496,3.336,1.9064,0.41452,0.062203,0.070218
