E_R_max_keV,ff,N_lo
247.99999999999991,helm,365.3869629271271
247.99999999999991,shell,1210.1201631501367
250.00000000000006,helm,361.96907177833776
250.00000000000006,shell,1203.4874521943211
251.99999999999994,helm,359.3740043696042
251.99999999999994,shell,1198.7563824839608
253.99999999999994,helm,357.0930747279065
253.99999999999994,shell,1194.871071897704
256.00000000000006,helm,355.13883001469674
256.00000000000006,shell,1191.7932606094284
257.99999999999994,helm,353.7152151532704
257.99999999999994,shell,1189.7260618128691
260.00000000000006,helm,352.47640808047316
260.00000000000006,shell,1188.0615393547941
261.9999999999999,helm,351.6194303618486
261.9999999999999,shell,1186.977678867893
264.00000000000006,helm,350.9194451356346
264.00000000000006,shell,1186.1037851076792
266.0,helm,350.45118096127993
266.0,shell,1185.4719854293762
267.99999999999994,helm,350.14736800905933
267.99999999999994,shell,1184.971814520299
269.99999999999994,helm,349.9387716644757
269.99999999999994,shell,1184.4949673235058
272.00000000000006,helm,349.93474144588436
272.00000000000006,shell,1184.4834036485381
273.9999999999999,helm,349.9347414458844
273.9999999999999,shell,1184.4834036485386
276.00000000000006,helm,349.93474144588436
276.00000000000006,shell,1184.4834036485383
278.0000000000001,helm,349.9347414458844
278.0000000000001,shell,1184.4834036485381
279.99999999999994,helm,349.93474144588447
279.99999999999994,shell,1184.4834036485381
282.0,helm,349.9347414458844
282.0,shell,1184.4834036485383
283.9999999999999,helm,349.9347414458844
283.9999999999999,shell,1184.4834036485383
286.0,helm,349.9347414458844
286.0,shell,1184.4834036485381
288.0,helm,349.9347414458844
288.0,shell,1184.4834036485383
290.0,helm,349.9347414458844
290.0,shell,1184.4834036485383
292.0,helm,349.9347414458844
292.0,shell,1184.4834036485383
293.99999999999994,helm,349.93474144588436
293.99999999999994,shell,1184.4834036485386
296.0,helm,349.93474144588447
296.0,shell,1184.4834036485383
298.0,helm,349.9347414458843
298.0,shell,1184.4834036485383
300.0,helm,349.93474144588436
300.0,shell,1184.4834036485383
302.00000000000006,helm,349.9347414458844
302.00000000000006,shell,1184.4834036485386
304.0,helm,349.93474144588436
304.0,shell,1184.4834036485383
305.99999999999994,helm,349.9347414458844
305.99999999999994,shell,1184.4834036485383
307.99999999999994,helm,349.93474144588447
307.99999999999994,shell,1184.4834036485386
310.0,helm,349.93474144588447
310.0,shell,1184.4834036485383
312.00000000000006,helm,349.9347414458844
312.00000000000006,shell,1184.4834036485388
314.0,helm,349.9347414458843
314.0,shell,1184.4834036485383
316.0000000000001,helm,349.9347414458844
316.0000000000001,shell,1184.4834036485381
318.0,helm,349.9347414458844
318.0,shell,1184.4834036485383
320.00000000000006,helm,349.9347414458844
320.00000000000006,shell,1184.4834036485386
321.99999999999994,helm,349.93474144588436
321.99999999999994,shell,1184.483403648538
324.0,helm,349.93474144588447
324.0,shell,1184.4834036485386
325.99999999999994,helm,349.93474144588436
325.99999999999994,shell,1184.4834036485383
328.0,helm,349.93474144588447
328.0,shell,1184.4834036485383
329.9999999999999,helm,349.9347414458844
329.9999999999999,shell,1184.4834036485383
331.9999999999999,helm,349.93474144588436
331.9999999999999,shell,1184.4834036485381
333.99999999999994,helm,349.9347414458844
333.99999999999994,shell,1184.4834036485381
