E_R_max_keV,ff,N_lo
335.99999999999994,helm,349.9347414458844
335.99999999999994,shell,1184.4834036485381
338.0,helm,349.93474144588436
338.0,shell,1184.4834036485383
339.99999999999994,helm,349.9347414458844
339.99999999999994,shell,1184.4834036485383
342.00000000000006,helm,349.9347414458844
342.00000000000006,shell,1184.4834036485381
343.99999999999994,helm,349.9347414458844
343.99999999999994,shell,1184.4834036485381
346.0,helm,349.9347414458844
346.0,shell,1184.4834036485383
347.99999999999994,helm,349.93474144588447
347.99999999999994,shell,1184.4834036485381
350.00000000000006,helm,349.93474144588447
350.00000000000006,shell,1184.4834036485386
351.9999999999999,helm,349.93474144588436
351.9999999999999,shell,1184.4834036485383
354.0,helm,349.9347414458844
354.0,shell,1184.4834036485386
355.9999999999999,helm,349.9347414458844
355.9999999999999,shell,1184.4834036485381
358.0,helm,349.9347414458844
358.0,shell,1184.4834036485383
359.99999999999983,helm,349.93474144588436
359.99999999999983,shell,1184.4834036485383
362.00000000000006,helm,349.9347414458844
362.00000000000006,shell,1184.4834036485383
364.0,helm,349.9347414458844
364.0,shell,1184.4834036485381
366.00000000000006,helm,349.93474144588447
366.00000000000006,shell,1184.4834036485383
368.0000000000001,helm,349.9347414458844
368.0000000000001,shell,1184.4834036485381
370.0,helm,349.93474144588436
370.0,shell,1184.4834036485383
371.9999999999999,helm,349.93474144588436
371.9999999999999,shell,1184.4834036485386
374.0000000000001,helm,349.93474144588436
374.0000000000001,shell,1184.4834036485383
375.99999999999994,helm,349.9347414458844
375.99999999999994,shell,1184.4834036485383
377.99999999999994,helm,349.9347414458845
377.99999999999994,shell,1184.4834036485383
379.99999999999994,helm,349.9347414458843
379.99999999999994,shell,1184.4834036485383
381.99999999999994,helm,349.93474144588447
381.99999999999994,shell,1184.4834036485383
384.0,helm,349.9347414458844
384.0,shell,1184.4834036485383
385.9999999999999,helm,349.9347414458844
385.9999999999999,shell,1184.4834036485383
387.9999999999999,helm,349.93474144588447
387.9999999999999,shell,1184.4834036485383
389.9999999999999,helm,349.9347414458844
389.9999999999999,shell,1184.4834036485383
391.99999999999994,helm,349.9347414458844
391.99999999999994,shell,1184.4834036485383
394.0000000000001,helm,349.93474144588447
394.0000000000001,shell,1184.4834036485383
395.9999999999999,helm,349.93474144588436
395.9999999999999,shell,1184.4834036485383
398.0000000000001,helm,349.9347414458844
398.0000000000001,shell,1184.4834036485383
400.00000000000006,helm,349.9347414458844
400.00000000000006,shell,1184.4834036485386
401.9999999999999,helm,349.93474144588436
401.9999999999999,shell,1184.4834036485383
404.0,helm,349.9347414458843
404.0,shell,1184.4834036485383
405.99999999999994,helm,349.9347414458844
405.99999999999994,shell,1184.4834036485381
408.00000000000006,helm,349.9347414458844
408.00000000000006,shell,1184.4834036485383
409.99999999999994,helm,349.93474144588436
409.99999999999994,shell,1184.4834036485383
411.9999999999999,helm,349.9347414458844
411.9999999999999,shell,1184.4834036485386
413.9999999999999,helm,349.93474144588447
413.9999999999999,shell,1184.4834036485383
415.99999999999994,helm,349.9347414458844
415.99999999999994,shell,1184.4834036485383
417.9999999999999,helm,349.93474144588447
417.9999999999999,shell,1184.483403648538
419.9999999999999,helm,349.93474144588447
419.9999999999999,shell,1184.4834036485386
422.0,helm,349.9347414458844
422.0,shell,1184.4834036485383
423.99999999999994,helm,349.93474144588447
423.99999999999994,shell,1184.4834036485381
426.0000000000001,helm,349.9347414458845
426.0000000000001,shell,1184.4834036485383
427.9999999999999,helm,349.9347414458843
427.9999999999999,shell,1184.4834036485381
430.0,helm,349.93474144588436
430.0,shell,1184.4834036485381
432.00000000000006,helm,349.9347414458844
432.00000000000006,shell,1184.4834036485381
434.00000000000006,helm,349.9347414458844
434.00000000000006,shell,1184.4834036485386
436.0,helm,349.9347414458844
436.0,shell,1184.4834036485386
437.99999999999994,helm,349.9347414458844
437.99999999999994,shell,1184.4834036485381
439.99999999999994,helm,349.9347414458843
439.99999999999994,shell,1184.4834036485386
441.9999999999999,helm,349.9347414458844
441.9999999999999,shell,1184.4834036485381
444.0,helm,349.93474144588447
444.0,shell,1184.4834036485381
445.99999999999994,helm,349.93474144588436
445.99999999999994,shell,1184.4834036485383
447.9999999999999,helm,349.9347414458844
447.9999999999999,shell,1184.4834036485383
450.0,helm,349.9347414458844
450.0,shell,1184.4834036485383
452.00000000000006,helm,349.93474144588436
452.00000000000006,shell,1184.4834036485386
453.99999999999994,helm,349.93474144588436
453.99999999999994,shell,1184.4834036485383
455.99999999999994,helm,349.9347414458844
455.99999999999994,shell,1184.4834036485383
458.00000000000006,helm,349.9347414458844
458.00000000000006,shell,1184.4834036485383
460.00000000000006,helm,349.93474144588436
460.00000000000006,shell,1184.4834036485383
462.00000000000006,helm,349.9347414458844
462.00000000000006,shell,1184.4834036485383
464.00000000000006,helm,349.9347414458844
464.00000000000006,shell,1184.4834036485386
465.9999999999999,helm,349.93474144588447
465.9999999999999,shell,1184.4834036485381
468.0,helm,349.9347414458844
468.0,shell,1184.4834036485383
470.00000000000006,helm,349.9347414458844
470.00000000000006,shell,1184.4834036485381
471.99999999999994,helm,349.93474144588447
471.99999999999994,shell,1184.4834036485383
474.0000000000001,helm,349.93474144588447
474.0000000000001,shell,1184.4834036485381
475.99999999999994,helm,349.9347414458844
475.99999999999994,shell,1184.4834036485383
477.99999999999983,helm,349.93474144588436
477.99999999999983,shell,1184.4834036485381
480.0000000000001,helm,349.9347414458844
480.0000000000001,shell,1184.4834036485383
481.99999999999983,helm,349.93474144588436
481.99999999999983,shell,1184.4834036485386
483.9999999999999,helm,349.9347414458843
483.9999999999999,shell,1184.4834036485383
485.9999999999999,helm,349.93474144588447
485.9999999999999,shell,1184.4834036485383
488.00000000000017,helm,349.9347414458844
488.00000000000017,shell,1184.4834036485381
489.9999999999999,helm,349.93474144588436
489.9999999999999,shell,1184.4834036485383
492.00000000000006,helm,349.9347414458844
492.00000000000006,shell,1184.4834036485383
494.0,helm,349.93474144588447
494.0,shell,1184.4834036485383
496.00000000000006,helm,349.93474144588436
496.00000000000006,shell,1184.4834036485381
498.0,helm,349.9347414458844
498.0,shell,1184.4834036485381
499.99999999999994,helm,349.9347414458844
499.99999999999994,shell,1184.4834036485381
502.00000000000006,helm,349.93474144588436
502.00000000000006,shell,1184.4834036485383
504.0,helm,349.9347414458844
504.0,shell,1184.4834036485383
506.00000000000006,helm,349.9347414458844
506.00000000000006,shell,1184.4834036485383
508.0,helm,349.93474144588436
508.0,shell,1184.4834036485386
509.99999999999994,helm,349.93474144588447
509.99999999999994,shell,1184.4834036485383
512.0000000000001,helm,349.93474144588436
512.0000000000001,shell,1184.4834036485388
514.0000000000001,helm,349.93474144588447
514.0000000000001,shell,1184.4834036485381
515.9999999999999,helm,349.9347414458844
515.9999999999999,shell,1184.4834036485381
518.0000000000001,helm,349.93474144588447
518.0000000000001,shell,1184.4834036485386
520.0000000000001,helm,349.9347414458844
520.0000000000001,shell,1184.4834036485383
521.9999999999999,helm,349.93474144588436
521.9999999999999,shell,1184.4834036485381
524.0000000000001,helm,349.9347414458844
524.0000000000001,shell,1184.4834036485381
525.9999999999999,helm,349.93474144588436
525.9999999999999,shell,1184.4834036485386
527.9999999999999,helm,349.93474144588436
527.9999999999999,shell,1184.4834036485381
529.9999999999999,helm,349.93474144588436
529.9999999999999,shell,1184.4834036485386
532.0,helm,349.9347414458844
532.0,shell,1184.4834036485383
533.9999999999999,helm,349.93474144588436
533.9999999999999,shell,1184.4834036485383
536.0000000000002,helm,349.9347414458844
536.0000000000002,shell,1184.483403648538
538.0000000000001,helm,349.93474144588436
538.0000000000001,shell,1184.4834036485386
540.0,helm,349.9347414458844
540.0,shell,1184.4834036485383
542.0,helm,349.93474144588447
542.0,shell,1184.4834036485383
543.9999999999998,helm,349.93474144588447
543.9999999999998,shell,1184.4834036485383
546.0000000000001,helm,349.9347414458844
546.0000000000001,shell,1184.4834036485383
547.9999999999999,helm,349.93474144588436
547.9999999999999,shell,1184.4834036485383
550.0000000000001,helm,349.9347414458845
550.0000000000001,shell,1184.4834036485383
552.0000000000001,helm,349.93474144588436
552.0000000000001,shell,1184.4834036485383
554.0,helm,349.9347414458844
554.0,shell,1184.4834036485381
556.0,helm,349.9347414458844
556.0,shell,1184.4834036485386
557.9999999999999,helm,349.93474144588447
557.9999999999999,shell,1184.4834036485381
560.0000000000001,helm,349.9347414458844
560.0000000000001,shell,1184.4834036485383
561.9999999999999,helm,349.93474144588436
561.9999999999999,shell,1184.4834036485381
564.0000000000001,helm,349.9347414458844
564.0000000000001,shell,1184.4834036485383
566.0,helm,349.9347414458844
566.0,shell,1184.483403648538
567.9999999999999,helm,349.93474144588447
567.9999999999999,shell,1184.4834036485383
569.9999999999999,helm,349.93474144588436
569.9999999999999,shell,1184.4834036485386
572.0000000000002,helm,349.93474144588436
572.0000000000002,shell,1184.4834036485383
574.0,helm,349.93474144588447
574.0,shell,1184.4834036485386
575.9999999999999,helm,349.9347414458844
575.9999999999999,shell,1184.4834036485386
578.0000000000001,helm,349.9347414458844
578.0000000000001,shell,1184.4834036485383
580.0,helm,349.9347414458844
580.0,shell,1184.4834036485383
581.9999999999999,helm,349.93474144588436
581.9999999999999,shell,1184.4834036485388
583.9999999999999,helm,349.9347414458843
583.9999999999999,shell,1184.4834036485381
586.0,helm,349.93474144588447
586.0,shell,1184.4834036485386
587.9999999999999,helm,349.93474144588436
587.9999999999999,shell,1184.4834036485386
589.9999999999999,helm,349.9347414458844
589.9999999999999,shell,1184.4834036485383
591.9999999999999,helm,349.9347414458844
591.9999999999999,shell,1184.4834036485383
594.0,helm,349.9347414458844
594.0,shell,1184.4834036485383
596.0000000000001,helm,349.9347414458844
596.0000000000001,shell,1184.4834036485381
598.0000000000002,helm,349.9347414458844
598.0000000000002,shell,1184.4834036485381
600.0,helm,349.93474144588436
600.0,shell,1184.4834036485383
