m_chi_GeV,sigma_p_1event_helm_D1kpc_cm2,sigma_p_1event_helm_D10kpc_cm2,sigma_p_1event_shell_D1kpc_cm2,sigma_p_1event_shell_D10kpc_cm2,N_lo_crdm_helm,N_lo_crdm_shell
0.001,3.6221927348092116e-30,1.1454379166111377e-30,6.685032663832979e-30,2.113992945033494e-30,16911.546876991404,56643.33445673102
0.01,4.405176722039657e-30,1.3930391937199775e-30,8.130312158208742e-30,2.5710304508098866e-30,14827.829951970787,49652.37729023323
0.1,6.33780049958396e-30,2.0041884934438348e-30,1.1708926947985628e-29,3.7026878112158474e-30,2186.6554359623433,7318.47382627909
1.0,2.3495448698559518e-29,7.429913253508699e-30,4.3566960897338e-29,1.3777082716708127e-29,761.8763765939201,2567.8818239715747
10.0,2.472864705291208e-29,7.819884814161249e-30,4.5853872740308376e-29,1.45002677398881e-29,675.3385375672857,2275.1445590820445
