m_chi_GeV,T_GeV,n_scatters_at_1em30,frac_loss_at_1em30,sigma_p_30pct_loss_cm2,sigma_p_1_scatter_cm2
0.001,0.18347831761099442,0.5057122228920142,0.0007852360947639955,3.8205070042044575e-28,1.977409195849182e-30
0.01,0.17058004217430708,0.5388359657080342,0.0008983024713973414,3.339632357165169e-28,1.855852362575674e-30
0.1,0.08819014585115914,0.8189376186734707,0.0026164416853314497,1.1465953997059794e-28,1.2210942289106432e-30
1.0,0.011525879148118715,3.1037646706665147,0.07551253166800545,3.97285051068033e-30,3.221893751968174e-31
10.0,0.0013317534554480991,84.20246165821015,16.01222168117646,1.8735688649169278e-32,1.1876137351650636e-32
1000.0,0.0009572676808643585,3223.0049955784025,153.62217635038806,1.952843053829332e-33,3.102694539325526e-34
