m_chi_GeV,Phi_total,Phi_T_gt_10MeV,Phi_T_gt_Tmin248,T_min248_MeV,recalled_scaling_1em7_GeV_over_m
0.001,1.0960315780680976e-05,1.6586192940715088e-06,2.1293677114055677e-07,122.3188784073296,9.999999999999999e-05
0.01,1.1335226651498187e-06,6.579019938039577e-07,1.3200621350832086e-07,113.72002811620473,9.999999999999999e-06
0.1,9.080347018669142e-08,8.35335249398823e-08,5.1879591431993994e-08,58.79343056743943,1e-06
1.0,2.5747650432651437e-09,2.3074416580678728e-09,2.3700019508993394e-09,7.683919432079143,1e-07
10.0,8.948000746944778e-11,4.002811710983393e-11,8.349126725892545e-11,0.8878356369653995,1e-08
