point,gamma_keV,reach_wall,reach_rfr,int_wall_shell,int_rfr,escape_any,straight_wall,straight_rfr
"event (r=45.9, z=26.4)",352,2.883e-06,2.426e-06,3.224e-07,2.416e-06,5.309e-06,5.265e-05,5.670e-05
"event (r=45.9, z=26.4)",295,2.567e-07,2.204e-07,3.445e-08,2.201e-07,4.771e-07,5.610e-06,6.144e-06
"event (r=45.9, z=26.4)",242,6.434e-10,5.785e-10,1.209e-10,5.785e-10,1.222e-09,1.988e-08,2.272e-08
"FV wall edge, event height (r=64.8, z=26.4)",352,6.892e-03,2.008e-06,8.687e-04,1.999e-06,6.894e-03,5.774e-02,5.670e-05
"FV wall edge, event height (r=64.8, z=26.4)",295,3.124e-03,1.878e-07,4.654e-04,1.876e-07,3.124e-03,3.020e-02,6.144e-06
"FV wall edge, event height (r=64.8, z=26.4)",242,4.585e-04,5.200e-10,9.322e-05,5.200e-10,4.585e-04,5.897e-03,2.272e-08
"FV bottom, event radius (r=45.9, z=9.0)",352,2.512e-06,3.541e-03,2.781e-07,3.530e-03,3.544e-03,5.265e-05,3.567e-02
"FV bottom, event radius (r=45.9, z=9.0)",295,2.290e-07,1.433e-03,3.049e-08,1.432e-03,1.433e-03,5.610e-06,1.672e-02
"FV bottom, event radius (r=45.9, z=9.0)",242,5.984e-10,1.584e-04,1.119e-10,1.584e-04,1.584e-04,1.988e-08,2.479e-03
"reco-wall distance 23.4 cm (r=49.4, z=26.4)",352,1.147e-05,2.439e-06,1.295e-06,2.428e-06,1.391e-05,1.925e-04,5.670e-05
"reco-wall distance 23.4 cm (r=49.4, z=26.4)",295,1.376e-06,2.220e-07,1.863e-07,2.218e-07,1.599e-06,2.754e-05,6.144e-06
"reco-wall distance 23.4 cm (r=49.4, z=26.4)",242,7.296e-09,5.848e-10,1.379e-09,5.848e-10,7.881e-09,2.051e-07,2.272e-08
"FV corner (r=64.8, z=9.0)",352,6.772e-03,3.369e-03,8.454e-04,3.358e-03,1.014e-02,5.774e-02,3.567e-02
"FV corner (r=64.8, z=9.0)",295,3.090e-03,1.383e-03,4.576e-04,1.382e-03,4.474e-03,3.020e-02,1.672e-02
"FV corner (r=64.8, z=9.0)",242,4.575e-04,1.563e-04,9.282e-05,1.563e-04,6.138e-04,5.897e-03,2.479e-03
"5.4t bottom, event radius (r=45.9, z=2.0)",352,1.724e-06,1.096e-01,1.917e-07,1.095e-01,1.096e-01,5.265e-05,4.768e-01
"5.4t bottom, event radius (r=45.9, z=2.0)",295,1.559e-07,8.465e-02,2.081e-08,8.461e-02,8.465e-02,5.610e-06,4.029e-01
"5.4t bottom, event radius (r=45.9, z=2.0)",242,4.045e-10,4.583e-02,7.567e-11,4.583e-02,4.583e-02,1.988e-08,2.636e-01
"FV average (10.7 cm, z>9)",352,,2.064e-04,3.288e-05,2.058e-04,5.195e-04,,
"FV average (10.7 cm, z>9)",295,,7.931e-05,1.276e-05,7.924e-05,1.794e-04,,
"FV average (10.7 cm, z>9)",242,,7.832e-06,1.211e-06,7.832e-06,1.444e-05,,
"FV average (8 cm, z>9)",352,,2.055e-04,1.091e-04,2.048e-04,1.123e-03,,
"FV average (8 cm, z>9)",295,,7.912e-05,5.379e-05,7.904e-05,4.550e-04,,
"FV average (8 cm, z>9)",242,,7.846e-06,9.230e-06,7.846e-06,5.402e-05,,
5.4t average (z>5),352,,1.277e-03,3.488e-04,1.274e-03,3.997e-03,,
5.4t average (z>5),295,,7.028e-04,2.153e-04,7.023e-04,2.114e-03,,
5.4t average (z>5),242,,1.682e-04,6.424e-05,1.682e-04,4.759e-04,,
5.4t average (z>2),352,,5.966e-03,3.439e-04,5.955e-03,8.646e-03,,
5.4t average (z>2),295,,4.359e-03,2.122e-04,4.357e-03,5.750e-03,,
5.4t average (z>2),242,,2.085e-03,6.330e-05,2.084e-03,2.388e-03,,
