m_chi_GeV,label,r,sigma_p_1event_cm2,N_lo_events
400.0,isoscalar (r=+1),1.0,3.197520278247993e-44,3851.445799842488
400.0,proton-only (r=0),0.0,7.990341716267405e-44,1754.3340559344645
400.0,xenophobic (r=-0.7),-0.7,1.871021701144459e-43,23.984080166086702
400.0,isovector (r=-1),-1.0,2.64943438700778e-43,702.7217930372365
1000.0,isoscalar (r=+1),1.0,5.573440745706017e-44,2752.7459487972833
1000.0,proton-only (r=0),0.0,1.381224570966624e-43,1244.540266429867
1000.0,xenophobic (r=-0.7),-0.7,3.1654740297725463e-43,16.980277589544666
1000.0,isovector (r=-1),-1.0,4.405306460556611e-43,477.05124854280905
4000.0,isoscalar (r=+1),1.0,1.9108151800729325e-43,2385.0120031051515
4000.0,proton-only (r=0),0.0,4.7184716029491105e-43,1074.8214450489588
4000.0,xenophobic (r=-0.7),-0.7,1.0715335433608123e-42,14.65486947570651
4000.0,isovector (r=-1),-1.0,1.4805152122116637e-42,404.39111249074585
