target,Z,N,supp_r_m0p7,supp_r_min
F,9,10.0,0.011080332409972297,0.006786543716516212
Ar,18,22.0,0.004225000000000004,0.0016881911258902723
Ge,32,41.0,0.002043535372490149,0.0004320928205206466
I,53,74.0,8.928017856035754e-05,0.00025231053984365573
W,74,110.0,0.00026583175803402646,0.0017889586897184046
Xe(<N>),54,77.38762325739546,1.7005513664596018e-06,0.0007242642907064017
