r,node1,node2,depth2
-2.0,91.11373725332464,226.03767240661543,6.210916964352776e-06
-1.98,91.00687165743345,225.70964308748384,6.2348267388549716e-06
-1.96,90.89655061446469,225.37251100075218,6.259580391045037e-06
-1.94,90.7825929900855,225.02596740108783,6.2846847179294565e-06
-1.92,90.66480078637913,224.66960245454666,6.3103438957585706e-06
-1.9,90.54304196914067,224.30304083624975,6.33625302904998e-06
-1.88,90.41722460875151,223.9257948739217,6.363169650261164e-06
-1.86,90.28691343027249,223.53744390843522,6.390465756180939e-06
-1.84,90.15182498873374,223.1375278567384,6.418250497588113e-06
-1.82,90.01211063103278,222.72554352901145,6.446524101818607e-06
-1.8,89.86705180388208,222.3009404909826,6.4751542007185975e-06
-1.78,89.7166583689382,221.86311633155833,6.504930298136819e-06
-1.76,89.56038779480936,221.41157425676462,6.534744691566993e-06
-1.74,89.39821217355079,220.94556420040263,6.565525945248613e-06
-1.72,89.22945265325485,220.46454640407194,6.596610289705569e-06
-1.7,89.0538484666686,219.9677458460674,6.628247782056941e-06
-1.68,88.87116646188701,219.45440313872948,6.660474951588085e-06
-1.66,88.68075040029098,218.92380772627806,6.693059487740816e-06
-1.64,88.48214069136839,218.37503519312872,6.726246266155525e-06
-1.62,88.27481326216952,217.8072424926492,6.759681886169009e-06
-1.6,88.05816960656318,217.2194543211151,6.79388428137712e-06
-1.58,87.83175142445869,216.61069982085792,6.828209676020374e-06
-1.56,87.59478099903362,215.9798911618615,6.8630718563690946e-06
-1.54,87.34631309324834,215.325909644434,6.898130351526911e-06
-1.52,87.08598155445988,214.64752583183315,6.93341139558705e-06
-1.5,86.81253200377631,213.94352920877242,6.9686588950645206e-06
-1.48,86.52507870936806,213.2125487442844,7.0036145140729965e-06
-1.46,86.2226221056364,212.45303388557753,7.038917948480337e-06
-1.44,85.9039728838884,211.66358428605076,7.073583441648009e-06
-1.42,85.56771406244795,210.84247757766872,7.107780325909525e-06
-1.4,85.21262445936999,209.98804550582378,7.14090622868125e-06
-1.38,84.83686198117009,209.0983653761699,7.173106600253033e-06
-1.36,84.43885447251354,208.1714841579482,7.204590633874144e-06
-1.34,84.01665440538954,207.2053659299272,7.2336272687198974e-06
-1.32,83.56785140352996,206.19774940485152,7.2608321564588845e-06
-1.3,83.09021904552604,205.1462602852083,7.286070506444559e-06
-1.28,82.58081481131897,204.04849494891474,7.3076056196727435e-06
-1.26,82.03656880214271,202.9018408990543,7.3246904792909535e-06
-1.24,81.45403820822699,201.70343642082926,7.337828815300568e-06
-1.22,80.82938527215583,200.45037422859858,7.346099693163902e-06
-1.2,80.15785727994404,199.13972250536648,7.347254525120127e-06
-1.18,79.43458986595381,197.7682396825677,7.340742597135387e-06
-1.16,78.65357469799801,196.3326345767426,7.3253789243385984e-06
-1.14,77.80846160508095,194.8295448936038,7.299559225585188e-06
-1.12,76.89130124759922,193.25549961334048,7.261891532323616e-06
-1.1,75.89347414150761,191.6071149477594,7.209472553878875e-06
-1.08,74.80488638637816,189.88086339320733,7.142393631779703e-06
-1.06,73.61387167226007,188.07346429578521,7.057341751012379e-06
-1.04,72.30697203032211,186.1818126905788,6.952048874263472e-06
-1.02,70.86845285495252,184.20310205878843,6.824615015783455e-06
-1.0,69.28032394930929,182.13499175386764,6.676083339605507e-06
-0.98,67.52133170967849,179.97589369528822,6.502382369311305e-06
-0.96,65.56694946380416,177.7250073755367,6.3063073433630605e-06
-0.94,63.38882734702626,175.38275656968312,6.090544765045309e-06
-0.92,60.953624433426135,172.95096407150714,5.86510603557028e-06
-0.9,,170.43340760646774,5.642139786582899e-06
-0.88,,167.83583585746393,5.4517075350554076e-06
-0.86,,165.1666110135461,5.344590588275657e-06
-0.84,,162.43683436190648,5.4183878860261614e-06
-0.82,,159.66058708476638,5.865656255362429e-06
-0.8,,156.8548898222477,7.1070132828919735e-06
-0.78,,154.03949180823633,1.0183057440001781e-05
-0.76,,151.23623609401022,1.820253082744611e-05
-0.74,148.46825389435125,373.1448410010111,-0.00013298123991927648
-0.72,145.75875819939478,370.35602494579126,-0.0004334276082208966
-0.7,143.12984908837115,367.5332027402185,-0.0009219534816173814
-0.68,140.60107754375647,364.6831476157285,-0.00031580257822944464
-0.66,138.1884785602036,361.8132693242463,-0.00012409061580997746
-0.64,135.90395229560158,358.9315294004848,-6.491463030026312e-05
-0.62,133.75488257855446,356.0463287305058,-4.00771589611479e-05
-0.6,131.74461782825654,353.1663828706822,-2.737681055859204e-05
-0.58,129.8726758998113,350.3004736468778,-1.9990372894842097e-05
-0.56,128.1355189329944,347.4573224878238,-1.5290459107265352e-05
-0.54,126.52757313795126,344.6455375377123,-1.2098193441993028e-05
-0.52,125.04160626367435,341.87327586333276,-9.817847932786796e-06
-0.5,123.66971580232253,339.14807922705967,-8.122531735394424e-06
-0.48,122.4034586286076,336.4769724452244,-6.820914022584832e-06
-0.46,121.23436216676394,333.8660132627341,-5.794000842326091e-06
-0.44,120.15437364621971,331.3205468475831,-4.965291780597336e-06
-0.42,119.15580252203394,328.84490315876684,-4.283033816655818e-06
-0.4,118.23143254669155,326.4426295216965,-3.7118210824629156e-06
-0.38,117.37454872334246,324.1163139304209,-3.2263483029858257e-06
-0.36,116.57907917598828,321.8676447763218,-2.8080115118910583e-06
-0.34,115.83943126406226,319.69766134314386,-2.4435375609826716e-06
-0.32,115.15065133393192,317.60657752883793,-2.1223059763347246e-06
-0.3,114.50834006221987,315.59405367450734,-1.8366587004895933e-06
-0.28,113.90816847827419,313.6591643688678,-1.5803593262901429e-06
-0.26,113.34646692508052,311.80065321375287,-1.3489916638464884e-06
-0.24,112.82019147733968,310.01671077331844,-1.1382860837002953e-06
-0.22,112.32609939031487,308.3053746132493,-9.455369556675789e-07
-0.2,111.86157457954103,306.6643750488624,-7.679986407829864e-07
-0.18,111.42430188429458,305.09139113207686,-6.039797868885862e-07
-0.16,111.01200280643405,303.58384496681987,-4.5152109994183825e-07
-0.14,110.62269026120687,302.1391707072403,-3.0932705767486614e-07
-0.12,110.2545657874509,300.7548055363876,-1.7631040534379104e-07
-0.1,109.9062437102031,299.4281745411582,-5.147084638363496e-08
-0.08,109.57597046861001,298.156630679587,6.609844251497894e-08
-0.06,109.26252701327385,296.9377328995344,1.770358274892815e-07
-0.04,108.9647681257615,295.7689966454905,2.819778001857568e-07
-0.02,108.68158312168818,294.64800647914694,3.8149012001971185e-07
0.0,108.41189922995972,293.57256212658854,4.759642706930265e-07
0.02,108.15473073362986,292.540349231649,5.658973632477954e-07
0.04,107.90953337620888,291.5493043961942,6.515853663403314e-07
0.06,107.67522651894026,290.5974728129673,7.332438388730075e-07
0.08,107.45116576608773,289.6828059224205,8.114486179232272e-07
0.1,107.23690424363824,288.80353861837887,8.861648832053232e-07
0.12,107.03167409131106,287.95787462041386,9.578965989033328e-07
0.14,106.83493014859711,287.1442369375997,1.0265830997543428e-06
0.16,106.64615919673805,286.3610389321455,1.0925097996651013e-06
0.18,106.46501924344807,285.60680550668434,1.1557672989352675e-06
0.2,106.29099771056805,284.88007164865223,1.2167331010181994e-06
0.22,106.12359886199708,284.1795538966543,1.2753627458934437e-06
0.24,105.96251249432129,283.5039975404588,1.331768026491847e-06
0.26,105.80752418149247,282.85214822557685,1.3863069520985838e-06
0.28,105.65804405752726,282.2230259586116,1.4387706119251422e-06
0.3,105.51409571543755,281.6154515928493,1.4894203576612703e-06
0.32,105.3751311821123,281.02843437918443,1.5383995349831219e-06
