A,N,ab,Z_minus_N,dyad_ratio_100keV,node_Fp_keV,node_Fn_keV,node_iso_keV,node_p_keV,node_vec_keV,node_xeno_keV,F2_iso_248,F2_vec_248,F2_p_248,F2_xeno_248,fn_over_fp_20keV,fn_over_fp_100keV,fn_over_fp_248keV
128,74,0.0191,-20,1.0021671969529218,"[114.5, 302.2]","[104.6, 258.8]","[(109.1, -2.5335165708313926e-06), (277.6, -1.266772902596585e-06)]","[(114.4, -5.440728389315776e-06), (301.3, -4.1965220372514694e-06)]","[(74.8, -2.74158142359598e-06), (190.1, -1.0090518237541845e-05)]","[(146.5, -0.0010438237923454923), (379.9, -0.0006898424038043835)]",5.644975800710047e-05,1.6997955478725328e-05,3.370050517490578e-05,2.1408133359517208e-05,0.9530251837012608,0.2952652408868221,0.2135661842972829
129,75,0.26401,-21,0.9944382258012969,"[110.7, 299.4]","[101.1, 257.2]","[(105.4, 4.2704313132438823e-07), (276.0, 6.788827098234029e-08)]","[(110.7, 9.914078415635345e-07), (299.4, 1.1315152798325886e-06)]","[(72.3, 6.976954355111234e-06), (185.3, 2.965267146915728e-06)]","[(142.2, 0.0007497293214264161), (371.2, 0.0002487822992893252)]",5.979377202628782e-05,2.2443073126806966e-05,3.9045196607977765e-05,2.7023263949539643e-05,0.948191357655715,0.08839201259563124,0.1721882942326605
130,76,0.04071,-22,0.9965880061787823,"[111.1, 294.0]","[100.5, 252.2]","[(105.2, 4.3186474247060383e-07), (270.3, 2.2101416850315335e-06)]","[(111.1, 1.6968622881070564e-07), (295.3, 1.8291307106794515e-06)]","[(71.4, -4.486750591146943e-06), (185.9, -3.3485352904318467e-06)]","[(145.9, -0.0019277936629182844), (373.2, -0.00031915985167522493)]",3.7109363705014734e-05,2.3187965202702557e-05,2.9079787671760577e-05,2.4743150962078674e-05,0.9460814981316147,0.03879803095123929,0.08503775973311728
131,77,0.21232,-23,0.43976336044054076,"[107.8, 293.3]","[97.2, 249.0]","[(101.9, 1.4314066293071703e-05), (268.4, 2.815223427710386e-07)]","[(107.8, 1.3377371819158398e-05), (293.3, -2.903312936364305e-06)]","[(69.2, 1.0463902799330547e-05), (181.8, -1.5342956102118353e-06)]","[(142.2, -0.01767161767356122), (367.6, -0.025189337420793607)]",3.35945711622462e-05,2.9319711486211257e-05,3.0785932576335394e-05,2.9621279058622347e-05,0.9413023654034595,-0.252136632039903,0.02434515774050292
132,78,0.26909,-24,0.9494745759594249,"[108.2, 289.5]","[96.6, 244.2]","[(101.7, 7.241998350784789e-07), (263.3, 1.5691546281322697e-07)]","[(108.3, 1.938054344064973e-06), (289.6, 2.9523236760311532e-08)]","[(68.3, 1.4334046560184004e-06), (182.9, 4.466512688631912e-06)]","[(146.0, 0.03717842463320906), (368.8, -0.012176512104065722)]",1.7349231138315745e-05,2.9452043100203384e-05,2.29222531166631e-05,2.737776719049635e-05,0.9391654434366347,-0.3688522245600689,-0.09138357578903784
134,80,0.10436,-26,1.0551850852601643,"[103.7, 283.8]","[91.5, 239.4]","[(96.7, -2.390054610217221e-06), (258.4, 3.904427566286221e-07)]","[(103.7, -2.8808866375029385e-06), (284.0, 1.896927354237305e-06)]","[(64.8, 3.269562571850479e-06), (179.5, 5.548355265190948e-06), (392.8, -5.435456731043502e-06)]","[(143.6, 0.0012564258473898586), (358.3, -0.00017737182668304573)]",9.554626041799685e-06,3.6858772415041025e-05,2.1008888228293575e-05,3.160523957942285e-05,0.9306556596192799,-2.191393140821705,-0.21931549401454084
136,82,0.08857,-28,1.006232518724199,"[101.7, 279.0]","[89.6, 231.0]","[(94.8, -4.93077648856566e-07), (251.1, -1.080510639352324e-06)]","[(101.7, -1.220831656675463e-06), (278.6, -2.1360940939271926e-06)]","[(64.2, -4.932511810805547e-06), (173.2, -1.0767895386324286e-05), (383.7, -2.516278118473785e-06)]","[(140.5, -0.0006728654340630645), (352.4, -0.0002655952911938707)]",-3.081001573812448e-07,4.477785801703837e-05,1.4064761793502506e-05,3.3773010312728695e-05,0.9261749842892464,-5.816808200829191,-0.5277507251819618
