m_chi_GeV,table,Z_LZ,N_lo_implied,N_lo_WimPyDD
400.0,O1v Table S7,0.8,1850.1591344456956,702.7217930372365
400.0,L1v Table S6,0.3,3450.9101273009355,702.7217930372365
400.0,L5v Table S6,0.7,2113.5695404379967,702.7217930372365
1000.0,O1v Table S7,1.3,877.6605624852851,477.05124854280905
1000.0,L1v Table S6,1.3,877.6605624852851,477.05124854280905
1000.0,L5v Table S6,1.3,877.6605624852851,477.05124854280905
4000.0,O1v Table S7,1.1,1198.74810806921,404.39111249074585
4000.0,L1v Table S6,1.2,1027.8622158202857,404.39111249074585
4000.0,L5v Table S6,1.3,876.2453529996702,404.39111249074585
