label,r,A,dRdE_248,share_248,dRdE_20,share_20,dRdE_248_delta300,share_248_delta300
isoscalar (r=+1),1.0,128,56532430407.88236,0.03256416293975562,1072825058720896.5,0.01860268768642606,272509554.5233042,0.027939412554421474
isoscalar (r=+1),1.0,129,850840103301.612,0.4901062197341688,1.4931034690481766e+16,0.25890276604219975,4443761731.5235195,0.45560271282146353
isoscalar (r=+1),1.0,130,84113078637.71207,0.048451339847950754,2328337997517250.0,0.040373166383616654,463002161.2443277,0.04746992603331931
isoscalar (r=+1),1.0,131,408095591151.25836,0.23507376614384037,1.222182261914592e+16,0.21192527830580662,2425069721.5493765,0.24863357008574108
isoscalar (r=+1),1.0,132,275816363378.7576,0.15887746084350868,1.5657295727036346e+16,0.27149606551075717,1723075360.2141802,0.1766606438280513
isoscalar (r=+1),1.0,134,62436408614.217224,0.03596500926666408,6145624329959268.0,0.10656455972853653,440248800.0238472,0.045137106740979906
isoscalar (r=+1),1.0,136,-1801929697.1555953,-0.0010379587758883569,5313492839516635.0,0.09213547634265735,-14078058.276976677,-0.0014433720639765776
proton-only (r=0),0.0,128,33749860597.652176,0.02092110562662877,201748975788760.88,0.019283366490939178,162688202.33505198,0.01705888503819261
proton-only (r=0),0.0,129,555596644760.229,0.34440723265203355,2781397900129318.0,0.2658487601021576,2901766264.3872404,0.304268511185229
proton-only (r=0),0.0,130,65913026336.05199,0.04085863946481712,428318607560820.0,0.040939115810590225,362819601.20841044,0.03804392560605268
proton-only (r=0),0.0,131,373977190933.797,0.23182366311818672,2227808861043820.0,0.21293617264382164,2222324332.701492,0.2330247354449062
proton-only (r=0),0.0,132,364415716447.6615,0.22589662774297475,2819389193326987.0,0.2694800054521337,2276571753.009062,0.23871291991903
proton-only (r=0),0.0,134,137286328550.55034,0.08510203389989496,1086097747789378.1,0.10381029610546823,968027193.5163286,0.10150376223366366
proton-only (r=0),0.0,136,82258029903.47423,0.0509906974954643,917570376395042.4,0.08770228339488952,642662885.548972,0.06738726057292596
xenophobic (r=-0.7),-0.7,128,21405119167.75334,0.012882928604271343,1485162870182.6582,0.03982573836032556,103181473.83434248,0.010036428451321588
xenophobic (r=-0.7),-0.7,129,384032567596.18054,0.23113462304428192,16986686251449.469,0.45551052739149284,2005722603.954031,0.19509598632117017
xenophobic (r=-0.7),-0.7,130,56056056000.94258,0.033738011997855054,1976753489279.9102,0.05300810358748058,308561706.45064205,0.03001369697995939
xenophobic (r=-0.7),-0.7,131,359797117286.4433,0.21654822557619058,8137246792189.031,0.21820627772579693,2138060576.8629923,0.20796845796880475
xenophobic (r=-0.7),-0.7,132,435485572538.28644,0.2621022333598074,7164774067354.844,0.19212870395973858,2720558166.228354,0.2646278093182418
xenophobic (r=-0.7),-0.7,134,206772038363.47375,0.12444824000836806,1319731875952.4219,0.03538958416796306,1457981709.5257423,0.14181740740090384
xenophobic (r=-0.7),-0.7,136,197961875433.25803,0.11914573740922554,221178504026.92188,0.005931064807202624,1546630161.7472904,0.15044021355959855
isovector (r=-1),-1.0,128,17022849505.50988,0.009919654359139897,18890447703544.1,0.014849845268402686,82057132.5519545,0.007580159563739698
isovector (r=-1),-1.0,129,319355444731.31604,0.18609667132513208,279382184346357.0,0.21962328650968865,1667927379.7084167,0.1540774736542863
isovector (r=-1),-1.0,130,52558463573.976204,0.030627175087962588,47075215752223.45,0.037005987410559785,289309137.4201801,0.02672539676553231
isovector (r=-1),-1.0,131,356166028539.6453,0.20754714987272121,260917819613718.28,0.2051083865156777,2116483173.0217078,0.19551353631954946
isovector (r=-1),-1.0,132,468225672781.0902,0.27284720073221563,358474515646063.5,0.28179803748171195,2925091571.455835,0.2702100373315714
isovector (r=-1),-1.0,134,240860224717.95947,0.14035547792944886,155799050670744.03,0.12247416428306872,1698342798.0418804,0.1568871468294923
isovector (r=-1),-1.0,136,261884163973.58798,0.1526066706933798,151558041498826.9,0.11914029253089048,2046040157.9802222,0.18900624953582845
