m_chi_GeV,r,R_lo,R_55_125,R_125_200,R_hi,N_lo,N_L2,N_M,N_55_200,rho_lo,rho_hi,rho_248,rho_q0,node1_keV,node2_keV,dRdE_248,R_hi_per_cp2
400.0,-2.0,2.3917462816481756e+18,3.970819623263382e+16,6376202484204421.0,193205854860535.3,12379.26398956515,205.5227377104953,33.00211833024962,238.52485604074494,0.5192235990880762,0.16154123149587324,1.1765725839459986,0.5882999687916667,90.41160992237145,224.33053886062757,3325907187168.694,193205854860535.3
400.0,-1.98,2.316260451993962e+18,3.827077902124422e+16,6173672079970305.0,188473909099454.4,12289.55489415626,203.05611107715393,32.756109901198926,235.81222097835283,0.5028363993027373,0.15758480716200166,1.1715257859101722,0.5703679767253048,90.30838656893062,224.02433390772444,3311641019412.813,188473909099454.4
400.0,-1.96,2.2419860333418906e+18,3.686063976423571e+16,5974464595541836.0,183895216290961.38,12191.649563056559,200.44371195558634,32.48841767634108,232.93212963192744,0.4867121844273503,0.15375651906245533,1.1665309294512078,0.552713523705132,90.20027235779573,223.70020191492165,3297521678861.777,183895216290961.38
400.0,-1.94,2.1689230256919608e+18,3.5477778461608284e+16,5778580030919019.0,179469776435056.2,12085.171491127465,197.681075701604,32.19806780675455,229.87914350835854,0.47085095446191516,0.15005636719723423,1.1615880145691047,0.5353366097311483,90.086905904466,223.35551042942754,3283549165515.5845,179469776435056.2
400.0,-1.92,2.0970714290441733e+18,3.4122195113361932e+16,5586018386101850.0,175197589531738.8,11969.750466596846,194.76406727148694,31.88410526099097,226.6481725324779,0.455252709406432,0.14648435156633838,1.1566970412638626,0.5182372348033536,89.96788889482823,222.99310156274387,3269723479374.2344,175197589531738.8
400.0,-1.9,2.0264312433985285e+18,3.279388971949667e+16,5396779661090330.0,171078655581009.44,11845.026701410858,191.68896089417805,31.545604814125035,223.23456570830305,0.4399174492609008,0.14304047216976787,1.1518580095354831,0.5014153989217479,89.84278120133553,222.6148943286061,3256044620437.7305,171078655581009.44
400.0,-1.88,1.957002468755025e+18,3.1492862280012492e+16,5210863855884459.0,167112974582867.88,11710.65546310761,188.4525265535013,31.181683342609038,219.63420989611032,0.4248451740253214,0.1397247290075226,1.1470709193839645,0.48487110208633133,89.71109519786955,222.24146828618703,3242512588706.0693,167112974582867.88
400.0,-1.86,1.8887851051136645e+18,3.0219112794909404e+16,5028270970484239.0,163300546537314.28,11566.312208771915,185.05212282314264,30.79151342175867,215.84363624490132,0.4100358836996942,0.1365371220796027,1.1423357708093083,0.4686043442971038,89.57228911483612,221.85840430239296,3229127384179.254,163300546537314.28
400.0,-1.84,1.821779152474445e+18,2.8972641264187384e+16,4849001004889666.0,159641371444348.38,11411.698208252517,181.4857953302372,30.374338187015933,211.86013351725313,0.39548957828401865,0.1334776513860079,1.1376525638115127,0.4526151255540653,89.43527578270535,221.45995564620324,3215889006857.28,159641371444348.38
400.0,-1.82,1.7559846108373678e+18,2.7753447687846452e+16,4673053959100743.0,156135449303970.5,11246.54662772161,177.75237981872377,29.929487377354402,207.68186719607817,0.38120625777829503,0.1305463169267385,1.1330212983905792,0.43690344585721586,89.30033650064772,221.0841859097611,3202797456740.1514,156135449303970.5
400.0,-1.8,1.6914014802024328e+18,2.6561532065886604e+16,4500429833117468.0,152782780116180.4,11070.629025838138,173.85160844493373,29.456394429367055,203.3080028743008,0.36718592218252344,0.12774311870179428,1.1284419745465066,0.42146930520655546,89.15760048496666,220.69081828658108,3189852733827.8647,152782780116180.4
400.0,-1.78,1.6280297605696402e+18,2.539689439830783e+16,4331128626939843.0,149583363880978.22,10883.7621934017,169.78421757192098,28.954614434169784,198.73883200609077,0.3534285714967038,0.12506805671117538,1.1239145922792964,0.4063127036020841,89.00633990238549,220.26561893178234,3177054838120.4243,149583363880978.22
400.0,-1.76,1.565869451938989e+18,2.4259534685110148e+16,4165150340567866.0,146537200598363.75,10685.815243808293,165.5520549461147,28.423842707244773,193.97589765335948,0.33993420572083594,0.1225211309548816,1.1194391515889466,0.3914336410438018,88.84573049139969,219.80169802611294,3164403769617.8247,146537200598363.75
400.0,-1.74,1.5049205543104804e+18,2.3149452926293548e+16,4002494974001540.0,143644290268337.34,10476.7168364241,161.15818375411087,27.863933655313456,189.0221174094243,0.32670282485492014,0.12010234143291326,1.1150156524754595,0.37683211753170853,88.67483471787054,219.33328718043683,3151899528320.072,143644290268337.34
400.0,-1.72,1.4451830676841134e+18,2.206664912185803e+16,3843162527240861.5,140904632890898.72,10256.462389019576,156.60698068703002,27.274919556524377,183.88190024355438,0.31373442889895614,0.11781168814527011,1.1106440949388332,0.3625081330658043,88.49364833496041,218.87470542909017,3139542114227.161,140904632890898.72
400.0,-1.7,1.386656992059889e+18,2.1011123271803596e+16,3687153000285833.0,138318228466048.03,10025.1211097622,151.90422480693528,26.657028803625053,178.56125361056033,0.30102901785294417,0.11564917109195229,1.1063244789790694,0.34846168764608915,88.32728187654229,218.380193666047,3127331527339.0967,138318228466048.03
400.0,-1.68,1.329342327437806e+18,1.998287537613024e+16,3534466393136453.0,135885076993785.14,9782.842655331498,147.0571737398668,26.010703098016464,173.06787683788326,0.28858659171688406,0.11361479027295968,1.102056804596166,0.334692781272563,88.14993961005362,217.86112328714506,3115267767655.873,135885076993785.14
