key,name,v_lag,sigma,v_gal_mean,v_lab_June16,v_lab_mean_fit,v_lab_amp_fit,v_lab_peak_doy,v_lab_min,v_lab_max,v_lab_max_doy,v_lab_min_doy,mean_speed_June16,v50_June16,v98_June16,inv_speed_June16,inv_speed_SHM_June16,E_max_elastic_mean_June16,E_max_elastic_v98,"frac_above_v_min(ROI, delta=250)","frac_above_v_min(ROI, delta=250)_annual_max","frac_above_v_min(248 keV, 300)","frac_above_v_min(248 keV, 300)_annual_max",frac_above_700 km/s,frac_above_700 km/s_annual_max,"frac_above_v_min(248 keV, 350)","frac_above_v_min(248 keV, 350)_annual_max","frac_above_v_min(248 keV, 380)","frac_above_v_min(248 keV, 380)_annual_max","frac_above_v_min(248 keV, elastic)","frac_above_v_min(248 keV, elastic)_annual_max","frac_above_v_min(200 keV, elastic)","frac_above_v_min(200 keV, elastic)_annual_max","frac_above_v_min(55 keV, elastic)","frac_above_v_min(55 keV, elastic)_annual_max","frac_above_v_min(5.4 keV, elastic)","frac_above_v_min(5.4 keV, elastic)_annual_max"
cold,"cold disk (v_lag 0, sigma 30)",0,30,238,34.647,33.934,11.062,75.556,21.745,44.189,77,257,57.867,55.999,110.17,0.021701,0.0033564,2.5952,26.24,3.7368e-90,1.7706e-87,3.5395e-109,3.2236e-106,5.6146e-108,4.9157e-105,1.0264e-129,1.7797e-126,6.7852e-143,1.7314e-139,1.9069e-23,3.6847e-22,1.1623e-18,1.5635e-17,7.5666e-05,0.00022829,0.60375,0.68822
fid,"fiducial disk (v_lag 50, sigma 50)",50,50,188,80.055,69.648,12.798,133.64,56.194,81.902,133,317,110.19,107.87,201.84,0.011125,0.0033564,13.855,88.079,1.0693e-28,1.5869e-28,4.6058e-35,7.1523e-35,1.1649e-34,1.804e-34,5.5716e-42,9.0473e-42,1.9376e-46,3.2319e-46,5.0095e-07,5.9641e-07,1.452e-05,1.6868e-05,0.12655,0.13337,0.93037,0.93372
hot,"hot disk (v_lag 100, sigma 90)",100,90,138,128.91,116.44,13.812,144.99,102.19,129.86,145,329,188.33,183.9,350.85,0.0065779,0.0033564,35.925,266.13,3.0417e-08,3.2125e-08,4.7094e-10,5.009e-10,6.1373e-10,6.5249e-10,4.9141e-12,5.2634e-12,2.5575e-13,2.7508e-13,0.028287,0.028889,0.067589,0.068783,0.62889,0.63192,0.98416,0.98438
