delta,key,f,N_SHM_June16,N_SHM_annual,N_pure_June16,N_pure_annual_max,N_comp_June16,ratio_June16,ratio_annual,LR_SHM,LR_comp,a1_SHM,peak_doy_SHM,a1_comp
250,cold,0,133262,103601,0,0,133262,1,1,1.28158,1.28158,0.282269,152.531,0.282269
250,cold,0.1,133262,103601,0,0,119936,0.9,0.9,1.28158,1.28158,0.282269,152.531,0.282269
250,cold,0.2,133262,103601,0,0,106610,0.8,0.8,1.28158,1.28158,0.282269,152.531,0.282269
250,cold,0.3,133262,103601,0,0,93283.6,0.7,0.7,1.28158,1.28158,0.282269,152.531,0.282269
250,cold,0.5,133262,103601,0,0,66631.2,0.5,0.5,1.28158,1.28158,0.282269,152.531,0.282269
250,fid,0,133262,103601,0,0,133262,1,1,1.28158,1.28158,0.282269,152.531,0.282269
250,fid,0.1,133262,103601,0,0,119936,0.9,0.9,1.28158,1.28158,0.282269,152.531,0.282269
250,fid,0.2,133262,103601,0,0,106610,0.8,0.8,1.28158,1.28158,0.282269,152.531,0.282269
250,fid,0.3,133262,103601,0,0,93283.6,0.7,0.7,1.28158,1.28158,0.282269,152.531,0.282269
250,fid,0.5,133262,103601,0,0,66631.2,0.5,0.5,1.28158,1.28158,0.282269,152.531,0.282269
250,hot,0,133262,103601,0.0948114,0.100201,133262,1,1,1.28158,1.28158,0.282269,152.531,0.282269
250,hot,0.1,133262,103601,0.0948114,0.100201,119936,0.9,0.9,1.28158,1.28158,0.282269,152.531,0.282269
250,hot,0.2,133262,103601,0.0948114,0.100201,106610,0.8,0.8,1.28158,1.28158,0.282269,152.531,0.282269
250,hot,0.3,133262,103601,0.0948114,0.100201,93283.7,0.7,0.7,1.28158,1.28158,0.282269,152.531,0.282269
250,hot,0.5,133262,103601,0.0948114,0.100201,66631.2,0.5,0.5,1.28158,1.28158,0.282269,152.531,0.282269
300,cold,0,19217.1,13362.8,0,0,19217.1,1,1,1.4301,1.4301,0.430097,152.529,0.430097
300,cold,0.1,19217.1,13362.8,0,0,17295.4,0.9,0.9,1.4301,1.4301,0.430097,152.529,0.430097
300,cold,0.2,19217.1,13362.8,0,0,15373.7,0.8,0.8,1.4301,1.4301,0.430097,152.529,0.430097
300,cold,0.3,19217.1,13362.8,0,0,13452,0.7,0.7,1.4301,1.4301,0.430097,152.529,0.430097
300,cold,0.5,19217.1,13362.8,0,0,9608.56,0.5,0.5,1.4301,1.4301,0.430097,152.529,0.430097
300,fid,0,19217.1,13362.8,0,0,19217.1,1,1,1.4301,1.4301,0.430097,152.529,0.430097
300,fid,0.1,19217.1,13362.8,0,0,17295.4,0.9,0.9,1.4301,1.4301,0.430097,152.529,0.430097
300,fid,0.2,19217.1,13362.8,0,0,15373.7,0.8,0.8,1.4301,1.4301,0.430097,152.529,0.430097
300,fid,0.3,19217.1,13362.8,0,0,13452,0.7,0.7,1.4301,1.4301,0.430097,152.529,0.430097
300,fid,0.5,19217.1,13362.8,0,0,9608.56,0.5,0.5,1.4301,1.4301,0.430097,152.529,0.430097
300,hot,0,19217.1,13362.8,0.000611652,0.00065145,19217.1,1,1,1.4301,1.4301,0.430097,152.529,0.430097
300,hot,0.1,19217.1,13362.8,0.000611652,0.00065145,17295.4,0.9,0.9,1.4301,1.4301,0.430097,152.529,0.430097
300,hot,0.2,19217.1,13362.8,0.000611652,0.00065145,15373.7,0.8,0.8,1.4301,1.4301,0.430097,152.529,0.430097
300,hot,0.3,19217.1,13362.8,0.000611652,0.00065145,13452,0.7,0.7,1.4301,1.4301,0.430097,152.529,0.430097
300,hot,0.5,19217.1,13362.8,0.000611652,0.00065145,9608.56,0.5,0.5,1.4301,1.4301,0.430097,152.529,0.430097
350,cold,0,619.033,254.86,0,0,619.033,1,1,2.39986,2.39986,1.18804,152.487,1.18804
350,cold,0.1,619.033,254.86,0,0,557.129,0.9,0.9,2.39986,2.39986,1.18804,152.487,1.18804
350,cold,0.2,619.033,254.86,0,0,495.226,0.8,0.8,2.39986,2.39986,1.18804,152.487,1.18804
350,cold,0.3,619.033,254.86,0,0,433.323,0.7,0.7,2.39986,2.39986,1.18804,152.487,1.18804
350,cold,0.5,619.033,254.86,0,0,309.516,0.5,0.5,2.39986,2.39986,1.18804,152.487,1.18804
350,fid,0,619.033,254.86,0,0,619.033,1,1,2.39986,2.39986,1.18804,152.487,1.18804
350,fid,0.1,619.033,254.86,0,0,557.129,0.9,0.9,2.39986,2.39986,1.18804,152.487,1.18804
350,fid,0.2,619.033,254.86,0,0,495.226,0.8,0.8,2.39986,2.39986,1.18804,152.487,1.18804
350,fid,0.3,619.033,254.86,0,0,433.323,0.7,0.7,2.39986,2.39986,1.18804,152.487,1.18804
350,fid,0.5,619.033,254.86,0,0,309.516,0.5,0.5,2.39986,2.39986,1.18804,152.487,1.18804
350,hot,0,619.033,254.86,2.66886e-06,2.86266e-06,619.033,1,1,2.39986,2.39986,1.18804,152.487,1.18804
350,hot,0.1,619.033,254.86,2.66886e-06,2.86266e-06,557.129,0.9,0.9,2.39986,2.39986,1.18804,152.487,1.18804
350,hot,0.2,619.033,254.86,2.66886e-06,2.86266e-06,495.226,0.8,0.8,2.39986,2.39986,1.18804,152.487,1.18804
350,hot,0.3,619.033,254.86,2.66886e-06,2.86266e-06,433.323,0.7,0.7,2.39986,2.39986,1.18804,152.487,1.18804
350,hot,0.5,619.033,254.86,2.66886e-06,2.86266e-06,309.516,0.5,0.5,2.39986,2.39986,1.18804,152.487,1.18804
366,cold,0,66.0186,20.4162,0,0,66.0186,1,1,3.20366,3.20366,1.53843,152.446,1.53843
366,cold,0.1,66.0186,20.4162,0,0,59.4167,0.9,0.9,3.20366,3.20366,1.53843,152.446,1.53843
366,cold,0.2,66.0186,20.4162,0,0,52.8148,0.8,0.8,3.20366,3.20366,1.53843,152.446,1.53843
366,cold,0.3,66.0186,20.4162,0,0,46.213,0.7,0.7,3.20366,3.20366,1.53843,152.446,1.53843
366,cold,0.5,66.0186,20.4162,0,0,33.0093,0.5,0.5,3.20366,3.20366,1.53843,152.446,1.53843
366,fid,0,66.0186,20.4162,0,0,66.0186,1,1,3.20366,3.20366,1.53843,152.446,1.53843
366,fid,0.1,66.0186,20.4162,0,0,59.4167,0.9,0.9,3.20366,3.20366,1.53843,152.446,1.53843
366,fid,0.2,66.0186,20.4162,0,0,52.8148,0.8,0.8,3.20366,3.20366,1.53843,152.446,1.53843
366,fid,0.3,66.0186,20.4162,0,0,46.213,0.7,0.7,3.20366,3.20366,1.53843,152.446,1.53843
366,fid,0.5,66.0186,20.4162,0,0,33.0093,0.5,0.5,3.20366,3.20366,1.53843,152.446,1.53843
366,hot,0,66.0186,20.4162,4.1898e-07,4.49846e-07,66.0186,1,1,3.20366,3.20366,1.53843,152.446,1.53843
366,hot,0.1,66.0186,20.4162,4.1898e-07,4.49846e-07,59.4167,0.9,0.9,3.20366,3.20366,1.53843,152.446,1.53843
366,hot,0.2,66.0186,20.4162,4.1898e-07,4.49846e-07,52.8148,0.8,0.8,3.20366,3.20366,1.53843,152.446,1.53843
366,hot,0.3,66.0186,20.4162,4.1898e-07,4.49846e-07,46.213,0.7,0.7,3.20366,3.20366,1.53843,152.446,1.53843
366,hot,0.5,66.0186,20.4162,4.1898e-07,4.49846e-07,33.0093,0.5,0.5,3.20366,3.20366,1.53843,152.446,1.53843
380,cold,0,2.47867,0.628229,0,0,2.47867,1,1,3.93419,3.93419,1.68806,152.424,1.68806
380,cold,0.1,2.47867,0.628229,0,0,2.2308,0.9,0.9,3.93419,3.93419,1.68806,152.424,1.68806
380,cold,0.2,2.47867,0.628229,0,0,1.98293,0.8,0.8,3.93419,3.93419,1.68806,152.424,1.68806
380,cold,0.3,2.47867,0.628229,0,0,1.73507,0.7,0.7,3.93419,3.93419,1.68806,152.424,1.68806
380,cold,0.5,2.47867,0.628229,0,0,1.23933,0.5,0.5,3.93419,3.93419,1.68806,152.424,1.68806
380,fid,0,2.47867,0.628229,0,0,2.47867,1,1,3.93419,3.93419,1.68806,152.424,1.68806
380,fid,0.1,2.47867,0.628229,0,0,2.2308,0.9,0.9,3.93419,3.93419,1.68806,152.424,1.68806
380,fid,0.2,2.47867,0.628229,0,0,1.98293,0.8,0.8,3.93419,3.93419,1.68806,152.424,1.68806
380,fid,0.3,2.47867,0.628229,0,0,1.73507,0.7,0.7,3.93419,3.93419,1.68806,152.424,1.68806
380,fid,0.5,2.47867,0.628229,0,0,1.23933,0.5,0.5,3.93419,3.93419,1.68806,152.424,1.68806
380,hot,0,2.47867,0.628229,7.24883e-08,7.77324e-08,2.47867,1,1,3.93419,3.93419,1.68806,152.424,1.68806
380,hot,0.1,2.47867,0.628229,7.24883e-08,7.77324e-08,2.2308,0.9,0.9,3.93419,3.93419,1.68806,152.424,1.68806
380,hot,0.2,2.47867,0.628229,7.24883e-08,7.77324e-08,1.98293,0.8,0.8,3.93419,3.93419,1.68806,152.424,1.68806
380,hot,0.3,2.47867,0.628229,7.24883e-08,7.77324e-08,1.73507,0.7,0.7,3.93419,3.93419,1.68806,152.424,1.68806
380,hot,0.5,2.47867,0.628229,7.24883e-08,7.77324e-08,1.23933,0.5,0.5,3.93419,3.93419,1.68806,152.424,1.68806
