f,delta_N1_annual,delta_N1_June,coupling_factor,events_factor,N_366_annual,N_300_annual,N_350_annual,P021_kappa_380,P021_kappa_300,P021_sigma_n_380_cm2,P007_exclusion_300,P007_exclusion_350
0,365.64,372.13,1,1,0.98609,782.32,10.799,2.19,7.4e-05,6.5e-38,226,1.9
0.1,365.01,371.47,1.1111,0.9,0.88748,704.09,9.7193,2.4333,8.2222e-05,7.2222e-38,203.4,1.71
0.2,364.28,370.73,1.25,0.8,0.78887,625.86,8.6394,2.7375,9.25e-05,8.125e-38,180.8,1.52
0.3,363.47,369.89,1.4286,0.7,0.69027,547.62,7.5595,3.1286,0.00010571,9.2857e-38,158.2,1.33
0.5,361.41,367.85,2,0.5,0.49305,391.16,5.3996,4.38,0.000148,1.3e-37,113,0.95
