op,key,f,R_lo_SHM_June,R_lo_pure_June,R_hi_SHM_June,R_hi_pure_June,pure_over_SHM_lo,pure_over_SHM_hi,pure_over_SHM_lo_annual,N_lo_June16,N_lo_annual,N_lo_SHM_annual,N_mid_annual,hi_band_ratio_June16,dRdE248_ratio_June16,lo_a1,lo_peak_doy,lo_JuneDec,el248_a1,el248_peak_doy,el248_LR_16June,pure_lo_a1,pure_lo_peak_doy,pure_lo_JuneDec,pure_lo_max_over_min
O1,cold,0,1.4472e+09,8.9626e+08,5.4945e+05,0,0.61932,0,0.60574,2633.8,2787.2,2787.2,82.167,1,1,0.024966,335.17,0.95211,0.043875,152.54,1.0414,,,,
O1,cold,0.1,1.4472e+09,8.9626e+08,5.4945e+05,0,0.61932,0,0.60574,2815.1,2974.8,2787.2,82.168,0.9,0.9,0.025273,10.845,0.95846,0.043875,152.54,1.0414,,,,
O1,cold,0.2,1.4472e+09,8.9626e+08,5.4945e+05,0,0.61932,0,0.60574,3041.6,3209.3,2787.2,82.169,0.8,0.8,0.036538,39.959,0.96543,0.043875,152.54,1.0414,,,,
O1,cold,0.3,1.4472e+09,8.9626e+08,5.4945e+05,0,0.61932,0,0.60574,3332.9,3510.8,2787.2,82.17,0.7,0.7,0.05384,54.38,0.97312,0.043875,152.54,1.0414,,,,
O1,cold,0.5,1.4472e+09,8.9626e+08,5.4945e+05,0,0.61932,0,0.60574,4265,4475.5,2787.2,82.173,0.5,0.5,0.09829,66.646,0.99113,0.043875,152.54,1.0414,0.26755,75.598,1.0614,1.733
O1,fid,0,1.4472e+09,2.3674e+09,5.4945e+05,7.7977,1.6359,1.4192e-05,1.5175,2633.8,2787.2,2787.2,82.167,1,1,0.024966,335.17,0.95211,0.043875,152.54,1.0414,,,,
O1,fid,0.1,1.4472e+09,2.3674e+09,5.4945e+05,7.7977,1.6359,1.4192e-05,1.5175,3112.6,3257.2,2787.2,83.264,0.9,0.9,0.012919,348.62,0.975,0.043875,152.54,1.0414,,,,
O1,fid,0.2,1.4472e+09,2.3674e+09,5.4945e+05,7.7977,1.6359,1.4192e-05,1.5175,3711,3844.6,2787.2,84.635,0.8,0.8,0.005806,47.639,0.99624,0.043875,152.54,1.0414,,,,
O1,fid,0.3,1.4472e+09,2.3674e+09,5.4945e+05,7.7977,1.6359,1.4192e-05,1.5175,4480.4,4599.9,2787.2,86.398,0.7,0.7,0.012013,109.58,1.016,0.043875,152.54,1.0414,,,,
O1,fid,0.5,1.4472e+09,2.3674e+09,5.4945e+05,7.7977,1.6359,1.4192e-05,1.5175,6942.4,7016.8,2787.2,92.039,0.50001,0.5,0.029523,127.39,1.0517,0.043876,152.54,1.0414,0.064286,133.64,1.1236,1.1382
O1,hot,0,1.4472e+09,2.2919e+09,5.4945e+05,57322,1.5837,0.10433,1.5654,2633.8,2787.2,2787.2,82.167,1,1,0.024966,335.17,0.95211,0.043875,152.54,1.0414,,,,
O1,hot,0.1,1.4472e+09,2.2919e+09,5.4945e+05,57322,1.5837,0.10433,1.5654,3061.8,3241.1,2787.2,89.058,0.91043,0.90596,0.023219,334.53,0.95547,0.045258,152.27,1.0427,,,,
O1,hot,0.2,1.4472e+09,2.2919e+09,5.4945e+05,57322,1.5837,0.10433,1.5654,3583.2,3796.5,2787.2,97.49,0.82087,0.81192,0.021652,333.87,0.9585,0.046967,151.96,1.0443,,,,
O1,hot,0.3,1.4472e+09,2.2919e+09,5.4945e+05,57322,1.5837,0.10433,1.5654,4232.3,4491.9,2787.2,108.05,0.7313,0.71788,0.020239,333.18,0.96125,0.049134,151.59,1.0464,,,,
O1,hot,0.5,1.4472e+09,2.2919e+09,5.4945e+05,57322,1.5837,0.10433,1.5654,6162.2,6585.1,2787.2,139.82,0.55216,0.5298,0.017795,331.73,0.96604,0.055839,150.64,1.0527,0.013275,327.61,0.97505,1.0269
L10,cold,0,0.22776,0.049141,1.175,0,0.21576,0,0.21423,0.19383,0.20541,0.20541,0.46039,1,1,0.022042,335.17,0.9576,0.044084,152.54,1.0416,,,,
L10,cold,0.1,0.22776,0.049141,1.175,0,0.21576,0,0.21423,0.19848,0.2103,0.20541,0.46039,0.9,0.9,0.02114,358.8,0.96028,0.044084,152.54,1.0416,,,,
L10,cold,0.2,0.22776,0.049141,1.175,0,0.21576,0,0.21423,0.20429,0.21642,0.20541,0.46039,0.8,0.8,0.024492,18.888,0.96347,0.044084,152.54,1.0416,,,,
L10,cold,0.3,0.22776,0.049141,1.175,0,0.21576,0,0.21423,0.21176,0.22427,0.20541,0.46039,0.7,0.7,0.032735,38.361,0.96734,0.044084,152.54,1.0416,,,,
L10,cold,0.5,0.22776,0.049141,1.175,0,0.21576,0,0.21423,0.23565,0.24942,0.20541,0.46039,0.5,0.5,0.063469,59.285,0.97826,0.044084,152.54,1.0416,0.37083,75.619,1.0869,2.1641
L10,fid,0,0.22776,0.26178,1.175,7.7216e-06,1.1494,6.5715e-06,1.0218,0.19383,0.20541,0.20541,0.46039,1,1,0.022042,335.17,0.9576,0.044084,152.54,1.0416,,,,
L10,fid,0.1,0.22776,0.26178,1.175,7.7216e-06,1.1494,6.5715e-06,1.0218,0.21859,0.22874,0.20541,0.46179,0.9,0.9,0.0088923,362.25,0.98357,0.044084,152.54,1.0416,,,,
L10,fid,0.2,0.22776,0.26178,1.175,7.7216e-06,1.1494,6.5715e-06,1.0218,0.24953,0.25789,0.20541,0.46355,0.8,0.8,0.010031,99.164,1.0102,0.044084,152.54,1.0416,,,,
L10,fid,0.3,0.22776,0.26178,1.175,7.7216e-06,1.1494,6.5715e-06,1.0218,0.28931,0.29537,0.20541,0.46581,0.7,0.7,0.023345,121.36,1.0374,0.044084,152.54,1.0416,,,,
L10,fid,0.5,0.22776,0.26178,1.175,7.7216e-06,1.1494,6.5715e-06,1.0218,0.41662,0.4153,0.20541,0.47305,0.5,0.5,0.051772,129.73,1.094,0.044085,152.54,1.0416,0.12265,133.65,1.2487,1.2808
L10,hot,0,0.22776,0.32728,1.175,0.096622,1.437,0.08223,1.4035,0.19383,0.20541,0.20541,0.46039,1,1,0.022042,335.17,0.9576,0.044084,152.54,1.0416,,,,
L10,hot,0.1,0.22776,0.32728,1.175,0.096622,1.437,0.08223,1.4035,0.22275,0.23569,0.20541,0.48435,0.90822,0.90588,0.018675,335.33,0.96398,0.045452,152.28,1.0429,,,,
L10,hot,0.2,0.22776,0.32728,1.175,0.096622,1.437,0.08223,1.4035,0.25816,0.27291,0.20541,0.51381,0.81645,0.81177,0.01556,335.54,0.96991,0.047143,151.97,1.0445,,,,
L10,hot,0.3,0.22776,0.32728,1.175,0.096622,1.437,0.08223,1.4035,0.30254,0.31977,0.20541,0.55089,0.72467,0.71765,0.012669,335.82,0.97546,0.049288,151.61,1.0465,,,,
L10,hot,0.5,0.22776,0.32728,1.175,0.096622,1.437,0.08223,1.4035,0.43647,0.46264,0.20541,0.66398,0.54111,0.52942,0.0074708,336.89,0.98551,0.055927,150.67,1.0528,0.0029416,145.03,1.0059,1.006
O6,cold,0,0.051738,0.0036488,0.12352,0,0.070524,0,0.070896,0.41886,0.44255,0.44255,1.3673,1,1,0.018779,335.17,0.96377,0.043888,152.54,1.0414,,,,
O6,cold,0.1,0.051738,0.0036488,0.12352,0,0.070524,0,0.070896,0.42214,0.44603,0.44255,1.3673,0.9,0.9,0.018114,345.21,0.96468,0.043888,152.54,1.0414,,,,
O6,cold,0.2,0.051738,0.0036488,0.12352,0,0.070524,0,0.070896,0.42624,0.45039,0.44255,1.3673,0.8,0.8,0.01808,358.05,0.9658,0.043888,152.54,1.0414,,,,
O6,cold,0.3,0.051738,0.0036488,0.12352,0,0.070524,0,0.070896,0.43152,0.45599,0.44255,1.3673,0.7,0.7,0.019251,8.0554,0.96722,0.043888,152.54,1.0414,,,,
O6,cold,0.5,0.051738,0.0036488,0.12352,0,0.070524,0,0.070896,0.44839,0.47392,0.44255,1.3673,0.5,0.5,0.028516,38.504,0.97154,0.043888,152.54,1.0414,0.41078,75.633,1.097,2.3588
O6,fid,0,0.051738,0.037909,0.12352,8.4384e-07,0.73272,6.8315e-06,0.6223,0.41886,0.44255,0.44255,1.3673,1,1,0.018779,335.17,0.96377,0.043888,152.54,1.0414,,,,
O6,fid,0.1,0.051738,0.037909,0.12352,8.4384e-07,0.73272,6.8315e-06,0.6223,0.45296,0.47315,0.44255,1.3735,0.9,0.9,0.0072052,2.8851,0.98711,0.043888,152.54,1.0414,,,,
O6,fid,0.2,0.051738,0.037909,0.12352,8.4384e-07,0.73272,6.8315e-06,0.6223,0.49558,0.5114,0.44255,1.3813,0.8,0.8,0.011119,105.42,1.013,0.043888,152.54,1.0414,,,,
O6,fid,0.3,0.051738,0.037909,0.12352,8.4384e-07,0.73272,6.8315e-06,0.6223,0.55038,0.56057,0.44255,1.3913,0.7,0.7,0.025851,122.94,1.042,0.043888,152.54,1.0414,,,,
O6,fid,0.5,0.051738,0.037909,0.12352,8.4384e-07,0.73272,6.8315e-06,0.6223,0.72575,0.71794,0.44255,1.4233,0.5,0.5,0.061039,130.13,1.1114,0.043888,152.54,1.0414,0.18743,133.65,1.405,1.4615
O6,hot,0,0.051738,0.066257,0.12352,0.010113,1.2806,0.081875,1.234,0.41886,0.44255,0.44255,1.3673,1,1,0.018779,335.17,0.96377,0.043888,152.54,1.0414,,,,
O6,hot,0.1,0.051738,0.066257,0.12352,0.010113,1.2806,0.081875,1.234,0.47414,0.49951,0.44255,1.4472,0.90819,0.90595,0.013951,336.56,0.97292,0.045269,152.27,1.0427,,,,
O6,hot,0.2,0.051738,0.066257,0.12352,0.010113,1.2806,0.081875,1.234,0.54186,0.56955,0.44255,1.5453,0.81638,0.81191,0.0093543,339.24,0.98174,0.046977,151.96,1.0443,,,,
O6,hot,0.3,0.051738,0.066257,0.12352,0.010113,1.2806,0.081875,1.234,0.62675,0.65773,0.44255,1.6689,0.72456,0.71786,0.0050107,346.39,0.99025,0.049142,151.6,1.0464,,,,
O6,hot,0.5,0.051738,0.066257,0.12352,0.010113,1.2806,0.081875,1.234,0.88296,0.92666,0.44255,2.0459,0.54094,0.52976,0.0036901,127.59,1.0064,0.055842,150.65,1.0527,0.021473,144.99,1.0424,1.044
