volume,R_m,H_m,rate_per_h,top_per_h,side_per_h,mean_interval_min,P_gap_ge_41min,P_gap_ge_127min,P_gap_le_41min,rate_range_per_h,P_ge41_range
"water tank (R 3.8 m, H 5.9 m)",3.8,5.9,13.996741470480053,8.655565282723227,5.341176187756827,4.286712026977386,7.01805041034288e-05,1.3595722067517076e-13,0.9999298194958965,"(11.157075342821766, 15.36467383285049)","(2.7558658578243954e-05, 0.0004885828577106467)"
"GdLS envelope (R 1.9 m, H 3.9 m)",1.9,3.9,3.9291953149394194,2.163891320680807,1.7653039942586126,15.270302235134645,0.0682245961441582,0.000244377413769664,0.9317754038558418,"(3.108993995112613, 4.355012464387444)","(0.05100022757575368, 0.11949518157237177)"
"TPC active (R 0.728 m, H 1.456 m)",0.728,1.456,0.5701998186648776,0.3176808248475614,0.2525189938173162,105.226269872358,0.6773030004503505,0.2991162606662103,0.3226969995496495,"(0.45149039158540594, 0.6314184777526648)","(0.6495540080017962, 0.7345344114833691)"
