E_MeV,dNdE_prod,J_wall,lam_rem_cm,S,N_tank_perMeV,N_lxe_perMeV
8.2,0.00932705458515782,4.671455288976294e-13,10.860078446867886,1.0057760051199401e-10,10.282384110204687,4.128301283266971e-11
8.322200634647686,0.009050280834693858,4.53283315605642e-13,11.10422064847743,1.668440044491548e-10,9.977261631515534,6.645050050626191e-11
8.446222366259795,0.008787843882113726,4.40139160835666e-13,11.354020206159204,2.737974139285588e-10,9.687944406393402,1.0588568988493179e-10
8.572092333763747,0.008538970906693087,4.2767435786172333e-13,11.609603817609122,4.4457786773505675e-10,9.413580457457508,1.6706249695463178e-10
8.699838080525268,0.008302914941851269,4.158514948626208e-13,11.871100374305193,7.144219842324548e-10,9.153346309597906,2.6104236464361476e-10
8.829487560375547,0.008078955431740366,4.0463448279871634e-13,12.138640947615963,1.1364160489742597e-09,8.906447603573596,4.04034235696424e-10
8.961069143728196,0.007866398664340194,3.939885771034787e-13,12.41235877022408,1.7897031377419124e-09,8.672119573467507,6.195588253136741e-10
9.094611623787387,0.007664578083873501,3.8388039333080436e-13,12.692389212516453,2.7910633407673044e-09,8.44962739110103,9.414202619775557e-10
9.230144222848487,0.007472854485982318,3.7427791693042445e-13,12.978869753574994,4.311077858383242e-09,8.23826638120144,1.4177445538969013e-09
9.367696598692602,0.007290616099693026,3.6515050735312527e-13,13.271939946384034,6.596452604317324e-09,8.037362111762272,2.116412278276757e-09
9.507298851076404,0.007117278560740522,3.564688967146891e-13,13.571741376852776,1.0000526875152127e-08,7.846270364635218,3.1322934397916458e-09
9.64898152831869,0.0069522847813168805,3.48205183272256e-13,13.878417616232458,1.5024539460916045e-08,7.664376991937693,4.596786338311425e-09
9.79277563398507,0.006795104721753566,3.4033281998902743e-13,14.192114166489594,2.2372879349095172e-08,7.491097664349464,6.690269777356281e-09
9.938712633672308,0.006645235070035974,3.328265984827518e-13,14.512978398178129,3.302632031069849e-08,7.325877517801259,9.658198628885336e-09
10.086824461893736,0.006502198835382566,3.2566262867013585e-13,14.807628443053314,4.65290169173421e-08,7.168190705425986,1.331403573920112e-08
10.237143529067296,0.006365544862396352,3.1881831443312133e-13,15.08350426305271,6.336223544838229e-08,7.01753986194687,1.7749726681181827e-08
10.38970272860772,0.00623484727251323,3.122723256438252e-13,15.363877171636961,8.57410349935046e-08,6.873455487915781,2.352556903701552e-08
10.544535444124383,0.006109704839629025,3.0600456689281975e-13,15.64878623480175,1.1530559116925476e-07,6.735495261388476,3.1002462613220166e-08
10.701675556726457,0.0059897403068855486,2.999961432703627e-13,15.93826915156544,1.5412258895291137e-07,6.603243284732034,4.062560904425772e-08
10.86115745243689,0.005874599651636293,2.9422932355220377e-13,16.23236215959383,2.0477949392049585e-07,6.47630927430419,5.294078007981904e-08
11.023016029716917,0.005763951305595967,2.8868750114077403e-13,16.531099938356032,2.7049543245856457e-07,6.354327700726186,6.861290938031149e-08
11.187286707102649,0.005657485337107199,2.833551531090141e-13,16.834515509875864,3.5525065469319006e-07,6.23695688739263,8.844716555728914e-08
11.354005430955521,0.005554912602334644,2.7821779768793067e-13,17.14264013715442,4.6393659571835694e-07,6.1238780747260995,1.1341263936039417e-07
11.523208683328207,0.0054559638720248676,2.7326195053036555e-13,17.455503220350998,6.02528552467615e-07,6.014794457494867,1.446687448706688e-07
11.694933489947765,0.00536038894025302,2.684750800725726e-13,17.773132190822125,7.782829481015529e-07,5.909430202272369,1.8359439295117876e-07
11.869217428317775,0.005267955721318385,2.6384556230223133e-13,18.095552403131226,9.99961056252569e-07,5.8075294518317095,2.3181994491650286e-07
12.046098635941165,0.0051784493406549,2.593626352267007e-13,18.422787025154484,1.2780808976654318e-06,5.708855322942115,2.912618955842439e-07
12.22561581866563,0.005091671225293782,2.550163533188391e-13,18.754856926422963,1.6251987963999162e-06,5.613188903671602,3.64160168049703e-07
12.4078082591534,0.005007438199058662,2.5079754219985313e-13,19.091780564854712,2.056221787734813e-06,5.520328255906905,4.531178284962971e-07
12.592715825477221,0.004925581587293656,2.466977537996028e-13,19.433573872045674,2.5887517026500483e-06,5.43008742838274,5.611429492749355e-07
12.780378979844443,0.004845946335526616,2.427092222148506e-13,19.780250137303415,3.243461313450778e-06,5.342295485073586,6.916922638414766e-07
12.97083878745114,0.004768390146058477,2.388248204653389e-13,20.131819890622953,4.044502412913965e-06,5.256795553347635,8.487161697274449e-07
13.164136925468132,0.004692782636049801,2.350380183265543e-13,20.48829078482001,5.01994511863766e-06,5.173443895819814,1.0367045476034327e-06
