parameter,low,high,N_win_low,N_win_high,N_any_low,N_any_high,span
phi_mu,4.4e-09,5.5e-09,1.1036255338806026e-05,1.3795319173507534e-05,0.0006634665668389491,0.0008293332085486865,1.25
Y_n,0.00025,0.0005,9.495479431115577e-06,1.8990958862231154e-05,0.000570839740949096,0.001141679481898192,2.0
f_hard,0.2,0.4,8.862449088429155e-06,1.7724893318694464e-05,0.0005327837971527003,0.0010655674775047685,1.9999994518260362
E_knee,30.0,100.0,9.02927792013354e-06,2.1780195019260718e-05,0.0005402184330967497,0.0013187913561055066,2.4121746181602304
lam_esc,"(12.0, 20.0, 30.0)","(30.0, 45.0, 60.0)",9.758445607162501e-06,1.994050680534271e-05,0.0005874315022729459,0.0011987634559931014,2.043410150352919
L_path,2.0,3.0,2.327952228000352e-05,7.706133043519603e-06,0.001389014785133596,0.00046536068535766,3.0209084307959366
lam_att_hi,0.8,1.2,8.268241373603853e-06,1.8883111673934242e-05,0.0004934683367134436,0.0011391928728617423,2.2838123393709924
lam_att_mid,0.55,0.9,1.2078367296709037e-05,1.535455150087441e-05,0.0007255598234010544,0.0009265005430752939,1.271243962340674
f_untag,0.04,0.24,2.658734240712362e-06,1.595240544427417e-05,0.0001598351274657469,0.0009590107647944814,6.0
f_geo,0.036702493074792245,0.06470233315246879,1.222261712554972e-05,2.154708792236084e-05,0.0007347870788709691,0.0012953462936797493,1.7628865979381438
