delta_keV,element,compound,mass_fraction,events_per_tyr_compound,exposure_tyr_compound_for_3_events,E_minus_keV_june,E_plus_keV_june,E_minus_keV_mean,E_plus_keV_mean,E_plus_keVee_NaI
250,I,NaI,0.8466,0.2357,12.73,57.19,873.8,60.88,820.9,78.64
250,W,CaWO4,0.6385,2.305,1.301,33.51,1359,35.23,1293,nan
250,Xe,Xe,1,0.3964,7.569,54.43,912,57.85,858.2,nan
300,I,NaI,0.8466,0.2152,13.94,96.6,745,104.6,687.8,67.05
300,W,CaWO4,0.6385,4.384,0.6844,52.25,1255,55.24,1187,nan
300,Xe,Xe,1,0.4298,6.979,90.9,786.4,98.08,728.9,nan
350,I,NaI,0.8466,0.1977,15.18,167.6,584.6,191.5,511.5,52.61
350,W,CaWO4,0.6385,41.25,0.07272,78.03,1144,83.12,1074,nan
350,Xe,Xe,1,0.7892,3.801,153.2,635,172,565.9,nan
366,I,NaI,0.8466,0.2456,12.22,207.6,515.9,256.1,418.3,46.43
366,W,CaWO4,0.6385,287.4,0.01044,88.22,1107,94.27,1036,nan
366,Xe,Xe,1,2.029,1.478,185.2,574.5,215.5,493.8,nan
380,I,NaI,0.8466,0.2447,12.26,268.6,429.9,nan,nan,38.69
380,W,CaWO4,0.6385,5679,0.0005282,98.09,1073,105.1,1001,nan
380,Xe,Xe,1,12.73,0.2357,225,509.7,293.4,391,nan
