target,A,m_chi_GeV,halo,v_max_kms,mu_GeV,delta_max_keV
C,12,400.0,june16,809.1,10.874,39.6
C,12,400.0,annual_mean,794.6,10.874,38.2
C,12,400.0,dec16,780.0,10.874,36.8
C,12,1000.0,june16,809.1,11.054,40.3
C,12,1000.0,annual_mean,794.6,11.054,38.8
C,12,1000.0,dec16,780.0,11.054,37.4
C,12,4000.0,june16,809.1,11.147,40.6
C,12,4000.0,annual_mean,794.6,11.147,39.1
C,12,4000.0,dec16,780.0,11.147,37.7
O,16,400.0,june16,809.1,14.369,52.3
O,16,400.0,annual_mean,794.6,14.369,50.5
O,16,400.0,dec16,780.0,14.369,48.6
O,16,1000.0,june16,809.1,14.685,53.5
O,16,1000.0,annual_mean,794.6,14.685,51.6
O,16,1000.0,dec16,780.0,14.685,49.7
O,16,4000.0,june16,809.1,14.849,54.1
O,16,4000.0,annual_mean,794.6,14.849,52.2
O,16,4000.0,dec16,780.0,14.849,50.3
F,19,400.0,june16,809.1,16.948,61.7
F,19,400.0,annual_mean,794.6,16.948,59.5
F,19,400.0,dec16,780.0,16.948,57.4
F,19,1000.0,june16,809.1,17.391,63.3
F,19,1000.0,annual_mean,794.6,17.391,61.1
F,19,1000.0,dec16,780.0,17.391,58.9
F,19,4000.0,june16,809.1,17.62,64.2
F,19,4000.0,annual_mean,794.6,17.62,61.9
F,19,4000.0,dec16,780.0,17.62,59.6
Na,23,400.0,june16,809.1,20.335,74.1
Na,23,400.0,annual_mean,794.6,20.335,71.4
Na,23,400.0,dec16,780.0,20.335,68.8
Na,23,1000.0,june16,809.1,20.975,76.4
Na,23,1000.0,annual_mean,794.6,20.975,73.7
Na,23,1000.0,dec16,780.0,20.975,71.0
Na,23,4000.0,june16,809.1,21.31,77.6
Na,23,4000.0,annual_mean,794.6,21.31,74.8
Na,23,4000.0,dec16,780.0,21.31,72.1
Ar,40,400.0,june16,809.1,34.085,124.1
Ar,40,400.0,annual_mean,794.6,34.085,119.7
Ar,40,400.0,dec16,780.0,34.085,115.4
Ar,40,1000.0,june16,809.1,35.921,130.8
Ar,40,1000.0,annual_mean,794.6,35.921,126.2
Ar,40,1000.0,dec16,780.0,35.921,121.6
Ar,40,4000.0,june16,809.1,36.916,134.5
Ar,40,4000.0,annual_mean,794.6,36.916,129.7
Ar,40,4000.0,dec16,780.0,36.916,125.0
Ca,40,400.0,june16,809.1,34.085,124.1
Ca,40,400.0,annual_mean,794.6,34.085,119.7
Ca,40,400.0,dec16,780.0,34.085,115.4
Ca,40,1000.0,june16,809.1,35.921,130.8
Ca,40,1000.0,annual_mean,794.6,35.921,126.2
Ca,40,1000.0,dec16,780.0,35.921,121.6
Ca,40,4000.0,june16,809.1,36.916,134.5
Ca,40,4000.0,annual_mean,794.6,36.916,129.7
Ca,40,4000.0,dec16,780.0,36.916,125.0
Ge,73,400.0,june16,809.1,58.119,211.7
Ge,73,400.0,annual_mean,794.6,58.119,204.1
Ge,73,400.0,dec16,780.0,58.119,196.7
Ge,73,1000.0,june16,809.1,63.67,231.9
Ge,73,1000.0,annual_mean,794.6,63.67,223.6
Ge,73,1000.0,dec16,780.0,63.67,215.5
Ge,73,4000.0,june16,809.1,66.862,243.5
Ge,73,4000.0,annual_mean,794.6,66.862,234.8
Ge,73,4000.0,dec16,780.0,66.862,226.3
I,127,400.0,june16,809.1,91.298,332.5
I,127,400.0,annual_mean,794.6,91.298,320.7
I,127,400.0,dec16,780.0,91.298,309.0
I,127,1000.0,june16,809.1,105.785,385.3
I,127,1000.0,annual_mean,794.6,105.785,371.5
I,127,1000.0,dec16,780.0,105.785,358.1
I,127,4000.0,june16,809.1,114.902,418.5
I,127,4000.0,annual_mean,794.6,114.902,403.6
I,127,4000.0,dec16,780.0,114.902,388.9
Xe,131,400.0,june16,809.1,93.502,340.5
Xe,131,400.0,annual_mean,794.6,93.502,328.4
Xe,131,400.0,dec16,780.0,93.502,316.5
Xe,131,1000.0,june16,809.1,108.755,396.1
Xe,131,1000.0,annual_mean,794.6,108.755,382.0
Xe,131,1000.0,dec16,780.0,108.755,368.1
Xe,131,4000.0,june16,809.1,118.413,431.3
Xe,131,4000.0,annual_mean,794.6,118.413,415.9
Xe,131,4000.0,dec16,780.0,118.413,400.8
W,184,400.0,june16,809.1,119.984,437.0
W,184,400.0,annual_mean,794.6,119.984,421.4
W,184,400.0,dec16,780.0,119.984,406.1
W,184,1000.0,june16,809.1,146.317,532.9
W,184,1000.0,annual_mean,794.6,146.317,513.9
W,184,1000.0,dec16,780.0,146.317,495.2
W,184,4000.0,june16,809.1,164.353,598.6
W,184,4000.0,annual_mean,794.6,164.353,577.2
W,184,4000.0,dec16,780.0,164.353,556.3
