hierarchy,delta_keV,M1_TeV,M2_TeV,Lambda_eff_TeV,Lambda_v2_over_delta_TeV,ratio
bino_only(M2=1e9),300.0,6540.091262558556,inf,204833.3019596953,202048.13333333333,1.0137846788307965
bino_only(M2=1e9),350.0,5588.750234187929,inf,175037.6437176643,173184.11428571425,1.0107026527207463
bino_only(M2=1e9),370.0,5281.445063406718,inf,165412.95649032152,163822.8108108108,1.009706497353089
bino_only(M2=1e9),385.0,5072.277482552566,inf,158861.90322068927,157440.1038961039,1.0090307316204747
wino_only(M1=1e9),300.0,inf,21453.044608428332,201832.6085631262,202048.13333333333,0.9989332998694348
wino_only(M1=1e9),350.0,inf,18371.451430102396,172840.64024048054,173184.11428571425,0.9980167115982297
wino_only(M1=1e9),370.0,inf,17373.162143046888,163448.62458094672,163822.8108108108,0.9977159088651201
wino_only(M1=1e9),385.0,inf,16693.147386850465,157050.97079288622,157440.1038961039,0.9975283736888635
