m_GeV,Y,coupling_sq_rel,delta_max_248_june,delta_max_270_june,delta_N3.65_annual,delta_N1_annual,delta_N0.105_annual,N_at_0,N_at_100,N_at_200,N_at_250,N_at_300,N_at_350,delta_N3.65_sun,delta_N1_sun,delta_N0.105_sun,delta_N3.65_june16,delta_N1_june16,delta_N0.105_june16,delta_N1_annual_vesc528,delta_N1_annual_vesc560,window_lo,window_hi,window_width_keV
300.0,0.5,1.0,315.7939536557191,313.6991095359935,306.81188729194133,310.15316206759906,310.95634459581225,380752208.16726303,16756971.286010236,67734.60834040186,3592.796402841271,23.16881786707368,0.0,300.48052955206083,302.63380144498996,306.3821071839366,310.18786153062615,310.62705646947353,311.39158458838125,300.2465776194442,310.96752193416256,306.81188729194133,315.7939536557191,8.98206636377779
300.0,1.0,4.0,315.7939536557191,313.6991095359935,310.1770470753106,310.61672607316876,311.38209681728046,1523008832.6690521,67027885.14404094,270938.43336160743,14371.185611365085,92.67527146829472,0.0,302.78608763243375,304.9393595253629,308.68766526430954,310.62855933064156,311.04802847333025,311.778218933724,302.2983791247049,311.35910522694445,310.1770470753106,315.7939536557191,5.616906580408511
300.0,1.5,9.0,315.7939536557191,313.6991095359935,310.44030708026247,310.8682024631485,311.6130608921316,3426769873.5053673,150812741.57409212,609611.4750636168,32335.16762557144,208.51936080366312,0.0,304.1347526526866,306.2880245456157,310.00860063183,310.86846958460694,311.2772002557944,311.98869773343597,303.4986060642056,311.5728166363165,310.44030708026247,315.7939536557191,5.353646575456651
300.0,2.0,16.0,315.7939536557191,313.6991095359935,310.6186949792126,311.0386056539115,311.7695647106786,6092035330.6762085,268111540.57616377,1083753.7334464297,57484.74244546034,370.7010858731789,0.0,305.09164571280667,307.2449176057358,310.22992182412344,311.0313720916618,311.4328111865178,312.13161586047823,304.35018062996556,311.7181468226064,310.6186949792126,315.7939536557191,5.17525867650653
500.0,0.5,1.0,356.2631874924752,357.74203781236633,336.4321090557255,342.35187633798114,351.066106077558,234503478.49641523,12400077.478550082,81415.3703481723,6652.987817999122,438.5018427504588,0.1385304556361423,331.00563127795897,335.7943412848695,343.8449304092027,342.1346818911592,347.39123223750425,356.4097942140145,331.37408044641245,350.85052416156867,336.4321090557255,356.2631874924752,19.831078436749692
500.0,1.0,4.0,356.2631874924752,357.74203781236633,342.7201967861171,347.806443954947,356.367516558631,938013913.9856609,49600309.91420033,325661.4813926892,26611.951271996488,1754.0073710018353,0.5541218225445692,336.13301397739895,340.8580439874377,348.1439720583774,347.738644154346,352.7732584236078,357.60456258885364,336.2767976918134,356.6551549916208,342.7201967861171,356.2631874924752,13.542990706358069
500.0,1.5,9.0,356.2631874924752,357.74203781236633,345.9456374528249,350.8484824759983,357.54701050970056,2110531306.467737,111600697.30695073,732738.3331335507,59876.8903619921,3946.5165847541293,1.2467741007252808,339.1323405834178,343.6501533438893,350.03899328859734,350.8208487751885,356.1883936638817,357.6757283401538,339.14470343201185,357.5579376388929,345.9456374528249,356.2631874924752,10.317550039650314
500.0,2.0,16.0,356.2631874924752,357.74203781236633,348.1466670792341,353.08742295218144,357.6003924724965,3752055655.9426436,198401239.6568013,1302645.925570757,106447.80508798595,7016.029484007341,2.216487290178277,341.1733184866165,345.58819639807155,350.84134302214477,353.1751974113863,357.52154853192206,357.72370976681293,341.05608367526355,357.6066202883925,348.1466670792341,356.2631874924752,8.116520413241119
1000.0,0.5,1.0,386.6151128700423,390.77423401964603,357.7956919749437,365.7825311450479,379.5498700306408,119343236.10775016,7201735.335155222,64264.787139562424,6579.8842374143405,790.4667887665875,11.124193774548116,353.10288877938444,360.4416195116189,373.69921927609846,364.2553301241593,372.0383168459823,386.4696598412356,354.9954884009335,374.7238589259758,357.7956919749437,386.6151128700423,28.81942089509863
1000.0,1.0,4.0,386.6151128700423,390.77423401964603,366.32544524076826,374.0963635527455,386.9536993351411,477372944.43100065,28806941.340620887,257059.1485582497,26319.536949657362,3161.86715506635,44.496775098192465,360.9668430661599,368.78164614551935,379.67383829905447,372.59545911524384,381.2887718854475,390.4012572378004,362.7189813946274,384.1396377275012,366.32544524076826,386.6151128700423,20.28966762927405
1000.0,1.5,9.0,386.6151128700423,390.77423401964603,371.15486744964096,379.19132072533637,389.389509683555,1074089124.9697514,64815618.01639699,578383.0842560618,59218.95813672907,7114.201098899287,100.11774397093305,365.7820124625525,373.4075344224595,382.1621165155321,377.8859541962303,386.1889965806025,391.43970072259475,367.3765518603344,388.7831783071305,371.15486744964096,386.6151128700423,15.46024542040135
1000.0,2.0,16.0,386.6151128700423,390.77423401964603,374.65887959790723,382.6708125027468,390.4454145603024,1909491777.7240026,115227765.36248355,1028236.5942329988,105278.14779862945,12647.4686202654,177.98710039276986,369.34795765672993,376.1897107132772,383.52283942251256,381.92444441352933,388.3989029437438,392.17648810048667,370.4841261947888,390.32909191265543,374.65887959790723,386.6151128700423,11.95623327213508
2000.0,0.5,1.0,401.79107555882587,407.2903321232859,365.38093436827563,374.91659832320806,391.1988907548968,60157606.08156346,3872161.748988808,39736.247163186985,4472.333152039268,643.755294254209,21.26125390758822,361.3644824256619,370.1390258169105,386.2832554088598,372.3777096810741,381.60169631767576,399.1401457564323,364.4412098685197,383.9171216808748,365.38093436827563,401.79107555882587,36.410141190550235
2000.0,1.0,4.0,401.79107555882587,407.2903321232859,375.5608397568448,384.7448657580551,,240630424.32625383,15488646.995955233,158944.98865274794,17889.33260815707,2575.021177016836,85.04501563035288,370.7522088379981,380.045764026301,393.7467791080197,382.25555967944746,392.3259080675257,,373.69124107892395,394.2903638386743,375.5608397568448,401.79107555882587,26.230235801981053
2000.0,1.5,9.0,401.79107555882587,407.2903321232859,381.27570013261345,390.78148006877086,,541418454.7340711,34849455.74089927,357626.2244686829,40250.99836835341,5793.797648287881,191.35128516829397,376.41964386268904,385.91254635564536,397.0192083705077,388.3140792114088,398.7465715171429,,379.29072525280736,,381.27570013261345,401.79107555882587,20.515375426212415
2000.0,2.0,16.0,401.79107555882587,407.2903321232859,385.4093733498525,394.933105526017,,962521697.3050153,61954587.98382093,635779.9546109918,71557.33043262828,10300.084708067345,340.1800625214115,380.73592781270685,389.51418491080426,398.86506060495947,393.08654908960136,,,383.08671091114314,,385.4093733498525,401.79107555882587,16.381702208973365
4000.0,0.5,1.0,409.37905690321764,415.5483811751058,365.82229536653836,376.43017001369833,393.85639356700324,30196509.719864126,2006583.7917432936,22006.82507938986,2588.308259119827,401.0950927955299,18.065046283724904,362.3265739995354,372.1155351109933,389.5073763847446,373.124762902112,383.39120284104007,,366.32882672485374,385.45437799767404,365.82229536653836,409.37905690321764,43.55676153667929
4000.0,1.0,4.0,409.37905690321764,415.5483811751058,377.1433391911511,387.0331376084714,,120786038.8794565,8026335.166973175,88027.30031755943,10353.233036479309,1604.3803711821197,72.26018513489961,372.7757045711398,382.3771101152007,398.87083408023386,384.0837220735821,394.2657900530825,,376.3002377888984,396.1174396271411,377.1433391911511,409.37905690321764,32.23571771206656
4000.0,1.5,9.0,409.37905690321764,415.5483811751058,383.3511030943587,393.4093080612961,,271768587.4787771,18059254.125689644,198061.42571450872,23294.774332078443,3609.8558351597694,162.58541655352414,378.6791593680132,389.0390636557247,,390.29549865760816,,,382.2867401540923,,383.3511030943587,409.37905690321764,26.027953808858967
4000.0,2.0,16.0,409.37905690321764,415.5483811751058,387.73524740613993,398.0527077321598,,483144155.517826,32105340.6678927,352109.20127023774,41412.932145917235,6417.521484728479,289.04074053959846,383.1238622412777,393.4478335778883,,395.03469419038845,,,386.6053028366454,,387.73524740613993,409.37905690321764,21.64380949707771
