multiplet,n,Y,Z_coupling_rel_higgsino,thermal_mass_TeV,thermal_rel,sigma_n_cm2,operator_dimension,Lambda_300keV_TeV,Lambda_366keV_TeV,delta_N3p65_1TeV,delta_N1_1TeV,delta_N0p105_1TeV,window_1TeV,m_grid_for_thermal_GeV,delta_N1_at_thermal_proxy,window_at_thermal_proxy,dm_charged_MeV_1TeV,verdict
doublet Y=1/2 (Higgsino-like),2,0.5,1.0,1.1,certain,7.403824259386692e-39,5.0,202048.13333333333,165613.22404371583,357.7956919749437,365.7825311450479,379.5498700306408,"[358, 387] keV",1000.0,365.7825311450479,"[358, 387] keV",341.80534165304846,viable; splitting from PeV-scale physics (gaugino mixing)
triplet Y=0 (wino-like),3,0.0,0.0,2.8,likely (2.7-3.0),0.0,,,,,,,none (no Z coupling),,,,,not an LZ scatterer without a new mediator (P014)
triplet Y=1,3,1.0,2.0,2.0,uncertain,2.961529703754677e-38,7.0,23.05032111205639,21.57199791609432,366.32544524076826,374.0963635527455,386.9536993351411,"[366, 387] keV",2000.0,384.7448657580551,"[376, 402] keV",511.1410253326546,viable; needs a mediator at 22 TeV (> M_DM)
quadruplet Y=1/2,4,0.5,1.0,2.4,uncertain,7.403824259386692e-39,5.0,202048.13333333333,165613.22404371583,357.7956919749437,365.7825311450479,379.5498700306408,"[358, 387] keV",2000.0,374.91659832320806,"[365, 402] keV",341.80534165304846,viable; splitting from PeV-scale physics (gaugino mixing); Q=-1 lighter than neutral for M > 1.4 TeV (|dm| <= 10 MeV): needs tree-level lift
quadruplet Y=3/2,4,1.5,3.0,2.4,uncertain,6.663441833448023e-38,9.0,3.750778409019169,3.6045366131411485,371.15486744964096,379.19132072533637,389.389509683555,"[371, 387] keV",2000.0,390.78148006877086,"[381, 402] keV",680.4767090122607,viable; needs a mediator at 4 TeV (> M_DM)
quintuplet Y=0 (MDM),5,0.0,0.0,9.4,likely,0.0,,,,,,,none (no Z coupling),,,,,not an LZ scatterer without a new mediator (P014)
quintuplet Y=1,5,1.0,2.0,4.5,uncertain,2.961529703754677e-38,7.0,23.05032111205639,21.57199791609432,366.32544524076826,374.0963635527455,386.9536993351411,"[366, 387] keV",4000.0,387.0331376084714,"[377, 409] keV",511.1410253326546,viable; needs a mediator at 22 TeV (> M_DM); Q=-1 lighter than neutral by 166-193 MeV: needs tree-level lift
quintuplet Y=2,5,2.0,4.0,4.5,uncertain,1.1846118815018708e-37,11.0,1.7225388238886965,1.6742946923167392,374.65887959790723,382.6708125027468,390.4454145603024,"[375, 387] keV",4000.0,398.0527077321598,"[388, 409] keV",849.8123926918668,EFT inconsistent: Lambda = 1.7 TeV < thermal mass; needs light mediator or mixing
