n,Y,label,Q,dm_MeV_1000,dm_MeV_2000,dm_MeV_4000,dm_MeV_asymptotic,lighter_than_neutral_1TeV,lighter_than_neutral_asymptotic,kappa2_W_coupling,ctau_cm_scaled_1TeV
2,0.5,doublet Y=1/2 (Higgsino-like),1,341.80534165304846,348.84901024474794,352.5376080516185,356.3501367721766,False,False,1.0,0.7119666196187923
3,0.0,triplet Y=0 (wino-like),-1,172.4696579734423,172.9615126741541,173.15669496562793,173.31056334573344,False,False,2.0,2.7709460282404446
3,0.0,triplet Y=0 (wino-like),1,172.4696579734423,172.9615126741541,173.15669496562793,173.31056334573344,False,False,2.0,2.7709460282404446
3,1.0,triplet Y=1,1,511.1410253326546,524.7365078153418,531.9185211376092,539.3897101986197,False,False,2.0,0.10644958035341305
3,1.0,triplet Y=1,2,1367.2213666121938,1395.3960409789918,1410.150432206474,1425.4005470887064,False,False,,
4,0.5,quadruplet Y=1/2,-1,3.13397429383615,-2.925984896439766,-6.22421812036267,-9.729010080709699,False,True,3.0,
4,0.5,quadruplet Y=1/2,1,341.80534165304846,348.84901024474794,352.5376080516185,356.3501367721766,False,False,4.0,0.17799165490469807
4,0.5,quadruplet Y=1/2,2,1028.5499992529815,1043.621045837804,1051.388606034493,1059.32140023582,False,False,,
4,1.5,quadruplet Y=3/2,1,680.4767090122607,700.6240053859357,711.2994342235997,722.429283625063,False,False,3.0,0.030077041778912073
4,1.5,quadruplet Y=3/2,2,1705.892733971406,1747.1710361201797,1768.9122583784554,1791.4796939415926,False,False,,
4,1.5,quadruplet Y=3/2,3,3076.2480748774365,3139.6410922027317,3172.838472464567,3207.1512309495893,False,False,,
5,0.0,quintuplet Y=0 (MDM),-2,689.8786318937692,691.8460506966164,692.6267798625117,693.2422533829338,False,False,,
5,0.0,quintuplet Y=0 (MDM),-1,172.4696579734423,172.9615126741541,173.15669496562793,173.31056334573344,False,False,6.0,0.9236486760801482
5,0.0,quintuplet Y=0 (MDM),1,172.4696579734423,172.9615126741541,173.15669496562793,173.31056334573344,False,False,6.0,0.9236486760801482
5,0.0,quintuplet Y=0 (MDM),2,689.8786318937692,691.8460506966164,692.6267798625117,693.2422533829338,False,False,,
5,1.0,quintuplet Y=1,-1,-166.20170938577002,-178.81348246703362,-185.60513120635326,-192.76858350715284,True,True,4.0,
5,1.0,quintuplet Y=1,1,511.1410253326546,524.7365078153418,531.9185211376092,539.3897101986197,False,False,6.0,0.035483193451137686
5,1.0,quintuplet Y=1,2,1367.2213666121938,1395.3960409789918,1410.150432206474,1425.4005470887064,False,False,,
5,1.0,quintuplet Y=1,3,2568.2410238386183,2611.9785994909503,2634.6957332065954,2658.03251067026,False,False,,
5,2.0,quintuplet Y=2,1,849.8123926918668,876.5115029565296,890.6803473095905,905.468857051506,False,False,4.0,0.011581558289513919
5,2.0,quintuplet Y=2,2,2044.5641013306183,2098.9460312613674,2127.674084550437,2157.558840794479,False,False,,
5,2.0,quintuplet Y=2,3,3584.255125916255,3667.303584914513,3710.9812117225383,3756.269951228918,False,False,,
5,2.0,quintuplet Y=2,4,5468.885466448775,5581.584163915967,5640.601728825896,5701.602188354826,False,False,,
